Year,Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,3252.4,7246719.65,23604.95,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,76145.0,1.147857143
1998,858.5761904761904,6520.8,19.14,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,66.0,0.35
1998,3151.5,7275533.2,21355.31,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,73639.0,0.797857143
1999,2914.6,8696398.33,22124.07,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,81941.0,0.831428571
1999,1852.2,6898.45,17.55,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,65.0,2.0
2000,2412.6,8576131.2,22713.6,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,87360.0,0.825714286
2000,1640.85,6381.05,16.9,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,65.0,2.0
2001,2931.1,9517801.09,24230.18,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,93193.0,0.772857143
2001,2756.264285714286,6638.45,16.9,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,65.0,2.11
2002,2507.4,9228904.95,24371.25,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,97485.0,0.910714286
2002,318.0,469184.52,1239.0,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,4956.0,0.0
2003,2394.9,10145845.92,24600.96,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,102504.0,0.86
2003,1298.6142857142856,6334.72,15.36,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,64.0,1.2
2003,348.5,516576.62,1252.56,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,5219.0,0.0
2004,2886.1,11654350.48,22590.12,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,107572.0,0.854285714
2004,1037.6,550042.18,1066.17,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,5077.0,1.55
2005,3031.1,13022112.8,22803.9,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,108590.0,0.958571429
2005,1365.3,572378.16,1002.33,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,4773.0,1.212727273
2006,1715.475,8045.73,13.86,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,63.0,1.3
2006,1648.0133333333324,8045.73,13.86,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,63.0,1.3
2006,3420.6,13036381.38,22457.16,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,102078.0,0.933571429
2006,927.9,705725.46,1215.72,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,5526.0,1.603636364
2007,2116.3,8137.4,9.76,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,61.0,1.28
2007,3489.6,13311585.8,15965.92,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,99787.0,0.921428571
2007,1067.2,740770.2,888.48,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,5553.0,2.057391304
2008,1333.6,8725.44,5.49,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,61.0,1.3
2008,2524.5,13945255.68,8774.28,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,97492.0,1.047142857
2008,1203.4,802740.48,505.08,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,5612.0,1.708333333
2009,1539.275,9505.02,10.37,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,61.0,1.26
2009,2810.6,15455785.8,16862.3,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,99190.0,0.976428571
2009,928.5,850153.92,927.52,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,5456.0,1.605
2010,495.62499999999983,9966.6,14.4,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,60.0,1.3
2010,3131.8,16583342.68,23960.04,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,99833.5,0.827857143
2011,517.8222222222222,10051.2,19.8,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,60.0,1.28
2011,3035.1,17513941.27,34500.9588,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,104548.36,0.92
2011,926.5,1090387.68,2147.97,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6509.0,2.054583333
2012,2151.1,15347670.0,31550.25,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,101775.0,0.895714286
2013,3255.4,14450155.92,27002.16,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,100008.0,0.805
2013,741.9,967360.55,1807.65,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6695.0,1.22
2014,3046.4,14595718.56,31906.38,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,96686.0,0.973571429
2014,913.0,1016262.72,2221.56,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6732.0,1.561904762
2015,408.78,8685.05,18.15,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,55.0,1.51
2015,2600.6,15652940.87,32711.4843,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,99125.71,0.96
2015,1204.6,1087052.44,2271.72,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6884.0,1.597142857
2016,311.7105263157894,8122.25,18.55,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,53.0,1.75
2016,1870.9,14971912.0,34193.6,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,97696.0,0.883571429
2016,535.0,1084703.5,2477.3,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,7078.0,1.477272727
2017,486.69,8186.88,19.76,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,52.0,1.5
2017,2664.9,14890675.2,35940.4,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,94580.0,0.850714286
2017,973.0,1061145.6,2561.2,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6740.0,2.313043478
2018,486.69,8434.4,18.2,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,52.0,1.5
2018,2664.9,15528912.84,33508.7515,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,95739.29,0.795714286
2018,973.0,1127614.4,2433.2,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6952.0,2.0112
2019,551.9142857142857,8931.52,19.24,0.03,0.57,99.4,41.07,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,4.76,0.0,0.0,52.0,1.5
2019,2664.9,16647150.96,35860.77,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,96921.0,0.674285714
2019,973.0,1175353.68,2531.91,0.09,0.75,99.16,35.32,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,43.6,56.01,43.99,6843.0,2.17
