Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,24.979125,5214.4,40143657.7,130761.1,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,421810.0,0.268235294
1998,25.58305208333333,4707.1,46969124.8,137864.84,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,475396.0,0.400833333
2000,24.549802083333333,4289.0,57209843.71,151518.38,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,582763.0,0.492083333
2001,24.55059375,3719.3,49236873.0,125346.0,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,482100.0,0.37625
2003,25.057322916666667,3632.3,52682203.98,127740.24,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,532251.0,0.298333333
2004,24.960270833333336,3714.9,60900839.18,118046.67,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,562127.0,0.53875
2005,24.76680208333333,4599.1,71938089.28,125975.64,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,599884.0,0.5968
2006,25.50973958333333,4325.9,76076463.87,131053.34,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,595697.0,0.4648
2007,25.024145833333336,5176.7,90863542.4,108981.76,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,681136.0,0.644230769
2008,25.3983125,4024.900000000001,85340810.88,53695.98,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,596622.0,0.546153846
2009,25.48991666666667,4671.3,94162805.1,102731.85,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,604305.0,0.526923077
2010,24.78228125,4362.1,148091217.8,213966.0,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,891525.0,0.65037037
2011,24.66627083333333,4668.7,128558030.9,253248.27,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,767419.0,0.52
2012,25.054541666666665,3737.9,99489093.6,204520.02,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,659742.0,0.573333333
