Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,27.97224444444445,1968.7,33014473.0,107539.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,346900.0,False,0.696511628
1998,29.576200000000004,1758.9,34846760.0,102283.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,352700.0,False,0.917166667
1999,28.6047,2267.2,36213784.73,92129.67,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,341221.0,False,0.902881356
2000,28.06177222222222,1446.5,30332664.77,80335.06,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,308981.0,False,0.632222222
2001,27.420272222222223,1717.4,30791990.74,78389.48,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,301498.0,False,0.793555556
2002,28.52985555555556,1506.6,28358209.16,74887.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,299548.0,False,0.551555556
2003,28.91477222222222,2269.3,30802081.1,74686.8,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,311195.0,False,0.743333333
2004,28.54101111111111,1679.5,34064479.48,66028.62,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,314422.0,False,0.692291667
2005,27.47826111111112,1928.6,38311202.16,67089.33,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,319473.0,False,0.65
2006,29.228372222222223,1906.0,38952699.39,67101.98,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,305009.0,False,0.606875
2007,28.616983333333334,1339.7000000000005,40081764.2,48074.08,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,300463.0,False,0.565
2008,28.169416666666667,1723.6,43793269.44,27554.49,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,306161.0,False,0.712
2009,26.12574259259259,1820.9,50621243.4,55227.9,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,324870.0,True,0.6948
2010,27.911377777777776,1655.3,106007249.2,153162.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,638175.0,False,0.3098
2011,27.95990555555556,2316.0,89164195.2,175645.8,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,532260.0,False,0.56
2012,27.80416111111111,2013.9,68544481.2,140907.09,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,454539.0,False,0.657
2013,28.55221111111112,2607.2,57175993.41,106841.43,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,395709.0,False,0.660980392
2014,28.96333333333333,1518.2,78499200.0,171600.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,520000.0,False,0.934583333
