Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,27.36328571428572,2066.5,95702952.0,311736.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1005600.0,0.3325
1998,28.32134821428572,2708.5,99461960.0,291943.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1006700.0,0.6425
1999,27.42448214285714,2370.7000000000003,110470717.0,281043.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1040900.0,0.706875
2000,26.7890625,2296.4,107604137.0,284986.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1096100.0,0.5265625
2001,26.55274107142857,2117.9,103896849.0,264498.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1017300.0,0.6271875
2002,27.221714285714285,2181.1,100340733.0,264975.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1059900.0,0.6296875
2003,27.86675,2327.3,103562774.0,251112.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1046300.0,0.59125
2004,27.609267857142857,2144.3,116357160.0,225540.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1074000.0,0.5771875
2005,26.54633928571429,2978.6,131900008.0,230979.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1099900.0,0.6421875
2006,28.352107142857143,3095.0,143367246.0,246972.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1122600.0,0.663125
2007,27.74430357142857,2849.2,154623940.0,185456.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1159100.0,0.81125
2008,27.217419642857145,2241.8,144255840.0,90765.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1008500.0,0.5575
2009,28.146830357142857,1893.9,170342424.0,185844.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1093200.0,0.7909375
2010,26.76499107142857,2984.5,216258609.0,312456.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1301900.0,0.70125
2011,27.068401785714286,2287.8,206568912.0,406923.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1233100.0,0.639375
2012,27.12486607142857,2104.5,183010880.0,376216.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1213600.0,0.633125
2013,27.08704464285714,2986.8,164906437.0,308151.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1141300.0,0.7625
2014,27.799642857142857,1898.9,182691792.0,399366.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1210200.0,0.313529412
