Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
1997,28.006107142857143,1644.9,87156686.0,283898.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,915800.0,False,1.218235294
1997,28.87636507936508,10.2,17111566.0,55738.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,179800.0,True,2.135
1998,29.63939285714285,1381.9,84533280.0,248124.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,855600.0,False,1.038125
1998,28.96157142857143,0.0,17981600.0,52780.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,182000.0,True,2.252142857
1999,28.471535714285714,633.9,79077463.0,201177.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,745100.0,False,0.7925
1999,29.27622222222222,139.3,19220143.0,48897.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,181100.0,True,1.933333333
2000,27.80692857142857,791.3,83169624.0,220272.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,847200.0,False,0.748235294
2000,28.506492063492065,39.0,13940140.0,36920.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,142000.0,True,1.965714286
2001,27.75467857142857,1313.0,81693787.0,207974.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,799900.0,False,1.341176471
2001,28.210761904761902,3.4000000000000004,14287987.0,36374.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,139900.0,True,1.802666667
2002,28.211273809523806,939.2,75556127.0,199525.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,798100.0,False,1.046470588
2002,28.827555555555552,0.0,13452607.0,35525.0,1.63,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,142100.0,True,1.63
