Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,32.922934210526314,432.6,60581591.2,177820.46,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,613174.0,1.006842105
1999,30.34511842105263,287.9,62285256.01,158456.79,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,586877.0,0.942631579
2000,30.435473684210525,326.9,59718872.57,158163.46,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,608321.0,0.928421053
2001,30.56701315789473,357.1,59794459.62,152223.24,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,585474.0,1.065263158
2002,31.20852631578948,228.5,48633872.4,128430.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,513720.0,0.975263158
2003,30.65071052631579,324.29999999999995,61814296.74,149883.12,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,624513.0,1.646315789
2004,30.87286842105264,234.00000000000003,61246010.42,118715.73,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,565313.0,1.768421053
2005,30.51153947368421,413.3,75748667.2,132648.6,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,631660.0,1.3835
2006,31.080250000000003,504.8,79050574.35,136176.7,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,618985.0,1.8815
2007,30.179789473684213,448.6,83772932.2,100477.28,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,627983.0,2.016
2008,30.397157894736846,629.3999999999999,87674079.36,55164.06,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,612934.0,1.94
2009,30.991894736842102,300.1,90969118.38,99247.53,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,583809.0,1.601428571
2010,31.183605263157897,395.1,109564827.1,158302.08,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,659592.0,1.715238095
2011,30.52144736842105,617.5,96519495.84,190135.11,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,576167.0,1.835714286
2012,30.81382894736842,379.5,61938234.8,127326.61,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,410731.0,1.788095238
2013,31.215434210526315,479.69999999999993,58229470.0,108810.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,403000.0,2.007058824
2014,31.53842105263158,244.6,59327280.0,129690.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,393000.0,1.869411765
2015,31.48368421052632,336.3,58426700.0,122100.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,370000.0,1.787647059
2016,31.23,367.9,71153975.0,162505.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,464300.0,2.046666667
2017,31.312105263157893,390.1,70753536.0,170772.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,449400.0,1.69047619
2018,31.399473684210527,390.1,68886340.0,148645.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,424700.0,2.2265
2019,31.33736842105263,390.1,84660504.0,182373.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,492900.0,2.225238095
