Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,27.36328571428572,2066.5,159048104.0,518072.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1671200.0,0.632272727
1998,28.32134821428572,2708.5,173858360.0,510313.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1759700.0,0.739545455
1999,27.42448214285714,2370.7000000000003,182617891.0,464589.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1720700.0,0.662916667
2000,26.7890625,2296.4,176706000.0,468000.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1800000.0,0.585
2001,26.55274107142857,2117.9,142900296.0,363792.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1399200.0,0.515909091
2002,27.221714285714285,2181.1,146473424.0,386800.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1547200.0,0.677272727
2003,27.86675,2327.3,131188092.0,318096.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1325400.0,0.582727273
2004,27.609267857142857,2144.3,165641026.0,321069.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1528900.0,0.622272727
2005,26.54633928571429,2978.6,171941296.0,301098.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1433800.0,0.595454545
2006,28.352107142857143,3095.0,185460462.0,319484.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1452200.0,0.633333333
2007,27.74430357142857,2849.2,171152200.0,205280.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1283000.0,0.742272727
2008,27.217419642857145,2241.8,123786816.0,77886.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,865400.0,0.642727273
2009,28.146830357142857,1893.9,161039970.0,175695.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1033500.0,0.686666667
2010,26.76499107142857,2984.5,171857406.0,248304.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1034600.0,0.87
2011,27.068401785714286,2287.8,140415264.0,276606.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,838200.0,0.833809524
2012,27.12486607142857,2104.5,118860560.0,244342.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,788200.0,0.658
2013,27.08704464285714,2986.8,110043584.0,205632.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,761600.0,0.846315789
2014,27.799642857142857,1898.9,130550208.0,285384.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,864800.0,0.451052632
2015,27.679285714285715,1762.9,126422746.0,264198.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,800600.0,0.296
2016,27.69464285714286,2695.1,128282663.3,292978.35,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,837081.0,0.649090909
2017,27.679642857142856,2225.9,124036427.5,299376.54,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,787833.0,0.609047619
