Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,30.084464285714283,1266.1,82248578.76,267910.68,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,864228.0,1.324
1998,31.75953928571429,1892.9,83268146.0,244410.55,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,842795.0,1.110714286
1999,30.23308571428571,1848.3,88620566.47,225455.13,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,835019.0,1.326176471
2000,29.88016785714285,1890.7000000000005,86488751.7,229062.6,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,881010.0,1.278823529
2001,30.09072857142857,1832.4,86884748.51,221189.02,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,850727.0,1.143333333
2003,30.356789285714285,2504.2000000000003,231019.32,560.16,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2334.0,1.61
2003,30.356789285714285,2504.2000000000003,91477513.96,221808.48,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,924202.0,1.237352941
2004,30.525814285714297,1520.0,185044.72,358.68,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1708.0,1.82
2005,30.2951,1787.4,202664.8,354.9,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1690.0,1.79
2006,30.723328571428567,1289.2999999999995,203314.32,350.24,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1592.0,1.85
2006,30.723328571428567,1289.3,112879931.7,194452.94,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,883877.0,1.401969697
2007,29.986275,1388.1,116988998.6,140316.64,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,876979.0,1.394516129
2008,30.54742857142857,2284.7,115762272.0,72837.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,809300.0,1.471290323
2009,30.661889285714285,1287.4,132231500.9,144264.89,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,848617.0,1.44578125
2010,30.31867857142857,2018.1,155358031.9,224465.28,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,935272.0,1.3345
2011,30.01911071428572,1905.8,148752231.8,293029.11,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,887967.0,1.59890625
2012,30.30099285714286,1299.8,135801432.0,279167.4,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,900540.0,1.599375
2013,30.908753571428576,1991.1,132783998.2,248125.68,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,918984.0,1.4571875
2014,30.97942857142857,1056.7,143672255.0,314068.92,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,951724.0,1.532063492
2015,30.85514285714286,1203.5,153943458.7,321710.73,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,974881.0,1.444126984
2016,30.763142857142856,1773.8,139024262.3,317510.55,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,907173.0,1.466875
2017,30.75771428571429,1546.0,145694503.7,351650.86,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,925397.0,1.634262295
2018,30.666,1546.0,142204632.8,306853.4,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,876724.0,1.701290323
2019,30.765000000000004,1546.0,157519378.4,339323.3,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,917090.0,1.9009375
1998,31.759539285714293,1892.9,256386.0,752.55,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2595.0,0.81
1999,30.233085714285718,1848.3,288567.47,734.13,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2719.0,1.38
2000,29.88016785714285,1890.7000000000005,306192.23,810.94,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3119.0,1.49
2001,30.09072857142857,1832.4,268806.16,684.32,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2632.0,1.95
2002,30.61129642857144,1361.9,146927.84,388.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1552.0,1.81
2002,30.611296428571432,1361.9,78699739.02,207826.5,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,831306.0,1.176323529
2004,30.52581428571429,1520.0,95165747.66,184463.79,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,878399.0,1.386666667
2005,30.2951,1787.4,104245017.0,182550.48,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,869288.0,1.311935484
2007,29.986275000000003,1388.0999999999997,211572.4,253.76,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1586.0,1.9
2008,30.54742857142857,2284.7,221568.96,139.41,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1549.0,1.9
2009,30.661889285714285,1287.4000000000003,247130.52,269.62,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1586.0,1.88
2010,30.31867857142857,2018.1,254314.41,367.44,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1531.0,1.88
2011,30.019110714285723,1905.8,241061.28,474.87,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1439.0,1.87
2012,30.300992857142862,1299.8,229065.2,470.89,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1519.0,2.51
2013,30.908753571428583,1991.1,219480.31,410.13,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1519.0,2.51
2014,30.97942857142857,1056.7,229459.2,501.6,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1520.0,2.51
2015,30.85514285714285,1203.5,234022.62,489.06,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1482.0,2.2
2016,30.763142857142856,1773.8,227882.75,520.45,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1487.0,2.2
2017,30.75771428571429,1546.0,236474.88,570.76,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1502.0,2.17
2018,30.666000000000004,1546.0,239731.6,517.3,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1478.0,2.2
2019,30.765000000000004,1546.0,253346.0,545.75,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1475.0,3.3
