Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,21.69436842105263,84.1,3593948.8,10549.04,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,36376.0,1.647894737
1999,22.332836257309943,53.3,3687380.72,9380.88,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,34744.0,1.938947368
2000,20.876166666666663,58.9,4330867.72,11470.16,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,44116.0,1.613157895
2001,21.29654970760234,16.3,3030503.49,7714.98,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,29673.0,1.782222222
2002,21.03970760233918,15.8,2870962.42,7581.5,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,30326.0,1.6
2003,21.112587719298244,86.4,2682358.0,6504.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,27100.0,1.691052632
2004,21.639365497076025,38.1,2430282.88,4710.72,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,22432.0,1.595
2005,21.56544736842105,124.7,3385821.28,5929.14,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,28234.0,2.0885
2006,21.34104678362573,64.8,4808281.5,8283.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,37650.0,1.874
2007,21.33459064327485,118.2,5273035.2,6324.48,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,39528.0,1.846
