Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Low_%,Potassium_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,17.819555555555556,213.1,124672.7,406.1,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1310.0,1.155
1998,17.604375,388.4,111644.0,327.7,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1130.0,1.06
1999,18.97638888888889,35.2,120988.2,307.8,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1140.0,1.46
2000,18.36963888888889,173.2,111913.8,296.4,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1140.0,1.0475
2001,18.675597222222223,109.7,120513.4,306.8,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1180.0,1.0175
2002,18.34911111111111,190.1,116444.1,307.5,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1230.0,1.1
2003,18.153666666666663,268.5,121745.4,295.2,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1230.0,1.19
2004,18.803472222222226,91.7,133258.2,258.3,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1230.0,1.2075
2005,18.0575,294.0,147501.6,258.3,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1230.0,1.285
2006,18.12826388888889,71.9,146866.5,253.0,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1150.0,1.0525
2007,18.55225,230.2,94714.0,113.6,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,710.0,0.92
2008,17.805819444444445,208.4,71520.0,45.0,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,500.0,0.935
2009,18.95738888888889,123.0,155820.0,170.0,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,1000.0,0.93
2010,19.72780555555556,121.3,106310.4,153.6,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,640.0,0.975
2011,18.535,145.3,97161.6,191.4,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,580.0,0.9675
2012,19.15036111111112,135.1,88972.0,182.9,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,590.0,0.98
2013,18.74163888888889,76.0,83804.2,156.6,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,580.0,0.9975
2014,18.50916666666667,127.5,73215.6,160.05,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,485.0,0.985
2015,18.82166666666667,133.2,70585.77,147.51,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,447.0,1.005
2016,18.95833333333333,189.2,69422.25,158.55,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,453.0,1.01
2017,19.070833333333336,129.29999999999998,66124.8,159.6,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,420.0,1.036666667
2018,18.824166666666667,129.29999999999998,127489.2,275.1,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,786.0,1.113333333
2019,18.70583333333333,129.29999999999998,68875.76,148.37,3.77,35.56,62.1,5.27,32.27,40.57,17.18,0.2,62.05,37.75,97.37,2.63,84.07,15.93,88.84,11.16,96.15,3.85,60.36,39.64,401.0,1.113333333
