Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,22.069349206349205,37.3,32075811.29,104481.47,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,337037.0,True,2.046329114
1998,22.6921873015873,117.6,32656858.0,95855.15,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,330535.0,True,2.021927711
1999,23.25118888888889,69.7,33194173.97,84447.63,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,312769.0,True,2.026626506
2000,22.119425396825395,91.8,28163598.62,74590.36,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,286886.0,True,1.956811594
2001,22.475065873015875,41.4,25911708.69,65965.38,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,253713.0,True,2.195362319
2003,30.356789285714285,2504.2000000000003,8512.28,20.64,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,86.0,False,2.97
2003,22.219519841269843,163.4,23154193.44,56142.72,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,233928.0,True,2.085142857
2004,30.525814285714297,1520.0,7692.14,14.91,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,71.0,False,2.69
2005,30.2951,1787.4,8394.4,14.7,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,70.0,False,2.61
2006,30.723328571428567,1289.2999999999995,9578.25,16.5,63.87,10.56,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,75.0,False,2.61
