Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,25.32285648148148,4209.1,582059.72,1895.96,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,6116.0,True,1.68
1998,23.641410493827163,388.4,586674.4,1722.02,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,5938.0,False,1.10375
1999,24.229,35.2,538822.01,1370.79,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,5077.0,False,0.776666667
2000,23.897808641975303,173.2,340748.07,902.46,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3471.0,False,0.62
2001,23.5583950617284,109.7,267784.86,681.72,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2622.0,False,1.0675
2002,23.77319444444445,190.1,232793.53,614.75,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2459.0,False,0.843333333
2003,23.45116049382716,268.5,304561.46,738.48,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3077.0,False,1.327142857
2005,23.70725308641975,294.0,288167.76,504.63,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2403.0,False,1.121666667
2006,23.63783641975309,71.9,363718.08,626.56,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2848.0,False,0.993333333
2007,23.766546296296298,230.2,274537.2,329.28,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2058.0,False,1.213333333
2008,23.38854938271605,208.4,395934.72,249.12,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2768.0,False,1.641666667
2004,23.68624691358025,91.7,262291.14,508.41,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2421.0,False,1.574285714
2009,23.865716049382712,123.0,272529.18,297.33,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1749.0,False,1.45
2010,24.627373456790124,121.3,336206.64,485.76,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2024.0,False,1.368333333
2011,23.82762962962963,145.3,386971.2,762.3,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2310.0,False,1.488888889
2012,24.25616666666666,135.1,359959.6,739.97,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2387.0,False,1.47125
2013,24.17833333333333,76.0,341140.89,637.47,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2361.0,False,1.40125
2014,23.953333333333333,127.5,371663.52,812.46,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2462.0,False,1.42
2015,24.16481481481481,133.2,394775.0,825.0,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2500.0,False,1.408571429
2016,24.000925925925927,189.2,390174.5,891.1,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2546.0,False,1.428571429
2017,24.20129629629629,129.29999999999998,67384.32,162.64,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,428.0,False,1.38
2018,24.13518518518519,129.29999999999998,107863.0,232.75,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,665.0,False,1.4925
2019,24.0062962962963,129.29999999999998,47749.28,102.86,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,278.0,False,2.073333333
