Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Potassium_High_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,24.979125,5214.4,364025.25,1185.75,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,3825.0,False,0.4375
1998,25.59780902777778,5673.7,433435.6,1272.23,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4387.0,True,2.238
2000,25.198211805555555,5270.9,711634.33,1884.74,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7249.0,True,2.263636364
2001,25.10689236111111,4635.9,990558.87,2521.74,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9699.0,True,2.213846154
2003,25.25296875,4308.2,1058492.12,2566.56,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,10694.0,True,2.220833333
2004,25.26332986111112,4845.3,1337348.96,2592.24,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,12344.0,True,2.26
2005,25.15569444444445,5597.7,1774456.24,3107.37,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,14797.0,True,2.199230769
2006,25.54274652777778,5518.4,1752947.46,3019.72,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,13726.0,True,2.216
2007,25.526805555555555,5928.1,2176954.6,2611.04,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,16319.0,True,3.124166667
2008,25.61801388888889,5059.4,2496191.04,1570.59,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,17451.0,True,4.133571429
2009,25.889229166666667,5933.9,3070588.92,3350.02,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,19706.0,True,3.701538462
2010,25.31106944444444,5779.700000000001,3498442.71,5054.64,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,21061.0,True,0.580769231
2011,25.291402777777776,5651.2,3635351.52,7161.33,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,21701.0,True,0.296923077
2012,25.613322916666664,4924.530000000001,4047019.6,8319.47,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,26837.0,True,2.986
2013,25.78820486111111,6063.299999999999,4039651.42,7548.66,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,27958.0,True,2.561176471
2014,25.58458333333333,5625.4,4931108.4,10779.45,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,32665.0,True,0.58375
