Year,Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Yield (t/ha)
1997,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.240714286
1998,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
1998,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.261428571
1999,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.193571429
1999,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
2000,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.22
2000,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
2001,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.214285714
2001,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.92
2002,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.222142857
2003,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.222857143
2003,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.67
2003,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.141666667
2004,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.222857143
2005,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.239285714
2005,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.173076923
2006,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
2006,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.217857143
2006,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.186923077
2007,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
2007,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.19
2007,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.145333333
2008,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.67
2008,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.182857143
2008,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.155
2009,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.67
2009,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.190714286
2009,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.153846154
2010,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.55
2010,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.180714286
2011,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.45
2011,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.369285714
2011,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.174285714
2012,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.391428571
2013,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.352142857
2013,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.184166667
2014,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.382857143
2014,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.186666667
2015,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.354285714
2015,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.173076923
2016,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,1.8
2016,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.35
