Year,Fertilizer (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,9143267.41,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,96073.0,0.589285714
1998,9017278.4,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,91268.0,0.484285714
1999,9488340.39,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,89403.0,0.491428571
1999,22287.3,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,210.0,2.69
2000,9043616.74,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,92122.0,0.507857143
2000,19830.34,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,202.0,0.603333333
2001,9162899.34,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,89718.0,0.525
2001,19506.83,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,191.0,1.063333333
2002,8382839.16,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,88548.0,0.574285714
2002,9014193.39,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,95217.0,0.3108
2003,8549496.48,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,86376.0,0.559285714
2003,21478.66,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,217.0,1.08
2003,10171481.74,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,102763.0,0.361153846
2004,8834801.98,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,81547.0,0.56
2004,11338756.06,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,104659.0,0.34037037
2005,9387937.2,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,78285.0,0.621428571
2005,12718595.28,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,106059.0,0.368571429
2006,8998829.73,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,70463.0,0.577857143
2006,13277753.28,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,103968.0,0.503571429
2007,7788025.4,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,58381.0,0.579285714
2007,13514620.6,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,101309.0,0.548148148
2008,24888.96,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,174.0,0.943333333
2008,7582121.28,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,53007.0,0.518571429
2008,14184990.72,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,99168.0,338.5489655
2009,26645.22,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,171.0,0.903333333
2009,7630817.04,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,48972.0,0.482857143
2009,15432880.26,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,99043.0,0.496785714
2010,28737.03,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,173.0,0.713333333
2010,7283549.752,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,43847.75,0.47
2011,26635.68,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,159.0,0.466666667
2011,9054826.219,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,54052.21,0.381428571
2011,16254968.16,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,97033.0,0.285172414
2012,7854568.8,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,52086.0,0.390714286
2013,7095181.45,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,49105.0,0.391428571
2013,13313019.62,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,92138.0,0.254
2014,6859018.56,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,45436.0,0.360714286
2014,13438610.16,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,89021.0,0.468571429
2015,22581.13,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,143.0,0.433333333
2015,6804316.634,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,43089.84,0.327857143
2015,13961612.65,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,88415.0,0.3
2016,22681.0,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,148.0,0.446666667
2016,6384548.25,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,41661.0,0.347142857
2016,13222410.0,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,86280.0,0.168571429
2017,23143.68,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,147.0,0.346666667
2017,6253516.8,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,39720.0,0.33
2017,13521419.52,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,85883.0,0.0
2018,23519.0,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,145.0,0.416666667
2018,6290223.052,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,38780.66,0.276428571
2018,13831118.4,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,85272.0,0.242
2019,24905.2,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,145.0,0.426666667
2019,6852880.48,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,39898.0,0.273571429
2019,14423889.52,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,83977.0,0.335172414
1998,7753330.0,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,78475.0,0.2235
