Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,39126733.37,103625.86,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,398561.0,False,0.339047619
2001,27.75952173913044,1677.9,28962536.05,73732.1,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,283585.0,False,0.296842105
2002,28.03126086956522,1325.7999999999995,21954162.34,57975.5,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,231902.0,False,0.296315789
2003,28.460304347826085,1910.8,28794766.7,69819.6,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,290915.0,False,0.447894737
2005,28.06011956521739,2050.8,41322873.04,72363.27,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,344587.0,False,0.462777778
2006,28.76501086956522,1971.0,25822834.29,44483.78,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,202199.0,False,0.444117647
2008,28.817478260869567,1965.8,22703737.92,14285.07,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,158723.0,False,0.586666667
2009,28.937521739130435,1461.5,22996227.24,25088.94,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,147582.0,False,0.532352941
2010,27.977663043478262,2608.3,31182335.31,45053.04,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,187721.0,False,0.526875
2011,27.69583695652173,1722.1,42429465.6,83582.4,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,253280.0,False,0.402777778
2012,28.328913043478263,2018.2,31366400.0,64480.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,208000.0,False,0.764
2013,28.44332608695652,2047.2,6876568.08,12849.84,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,47592.0,False,0.737777778
2013,27.014550724637683,106.8,186536.59,348.57,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1291.0,True,0.74
