Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,28.006107142857143,1644.9,1065904.0,3472.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,11200.0,False,2.32
1997,26.151968253968253,1669.1,32072290.0,104470.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,337000.0,True,2.29625
1998,29.63939285714285,1381.9,34412040.0,101007.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,348300.0,False,2.431764706
1999,28.471535714285714,633.9,36752819.0,93501.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,346300.0,False,1.696470588
2000,27.80692857142857,791.3,45020762.0,119236.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,458600.0,False,1.242352941
2001,27.75467857142857,1313.0,31119011.0,79222.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,304700.0,False,1.58
2002,28.211273809523806,939.2,22929074.0,60550.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,242200.0,False,1.162941176
2003,28.348130952380952,1834.9,28733894.0,69672.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,290300.0,False,1.981818182
2004,28.65139285714286,1428.0,35806370.0,69405.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,330500.0,False,1.746956522
2005,27.521297619047623,1944.0,40964672.0,71736.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,341600.0,False,2.059545455
2006,29.02797619047619,2162.5,41773941.0,71962.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,327100.0,False,1.845454545
2007,28.10422619047619,2062.5,47770540.0,57296.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,358100.0,False,2.08
2008,27.914571428571428,1486.9,62065056.0,39051.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,433900.0,False,2.020434783
2009,28.537261904761905,1197.6999999999998,65693712.0,71672.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,421600.0,False,2.041304348
2010,27.948678571428577,2078.9,81493566.0,117744.0,1.63,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,490600.0,False,2.011363636
