Year,Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,3252.4,84163018.48,274146.64,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,884344.0,5376.054286
1998,3151.5,87170054.4,255863.52,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,882288.0,5304.749286
1999,2914.6,98173964.55,249759.45,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,925035.0,5581.025714
1999,1852.2,234971.82,597.78,0.03,0.57,41.07,30.01,28.91,14.29,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,2214.0,12812.4475
2000,2412.6,90884117.11,240703.58,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,925783.0,5617.002143
2000,1640.85,219213.61,580.58,0.03,0.57,41.07,30.01,28.91,14.29,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,2233.0,11937.4475
2001,2931.1,92500979.34,235486.68,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,905718.0,5636.355
2001,2756.264285714286,233060.66,593.32,0.03,0.57,41.07,30.01,28.91,14.29,48.07,65.56,32.45,1.99,2.5,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,2282.0,9725.08
2002,2507.4,85127074.66,224799.5,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,899198.0,5969.78
2002,318.0,32739252.75,86456.25,0.09,0.75,35.32,43.85,20.83,46.39,11.19,3.11,9.01,87.88,4.86,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,345825.0,8497.531111
