Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,25.62429513888889,6229.2,1648058.89,5368.27,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,17317.0,0.121333333
1998,25.59780902777778,5673.7,1771978.0,5201.15,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,17935.0,0.118
2000,25.198211805555555,5270.9,964912.93,2555.54,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9829.0,0.119047619
2001,25.10689236111111,4635.9,1154783.91,2939.82,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,11307.0,0.116818182
2003,25.25296875,4308.2,771747.06,1871.28,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7797.0,0.1195
2004,25.26332986111112,4845.3,1042880.84,2021.46,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9626.0,0.119
2005,25.15569444444445,5597.7,1098826.96,1924.23,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9163.0,0.125714286
2006,25.54274652777778,5518.4,766004.58,1319.56,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5998.0,0.113157895
2007,25.526805555555555,5928.1,856828.2,1027.68,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6423.0,0.329545455
2008,25.61801388888889,5059.4,1060641.6,667.35,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7415.0,0.549545455
2009,25.889229166666667,5933.9,1025295.6,1118.6,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6580.0,0.498095238
2010,25.31106944444444,5779.700000000001,722246.28,1043.52,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4348.0,0.368
2011,25.291402777777776,5651.2,509595.84,1003.86,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,3042.0,0.406
2012,25.613322916666664,4924.530000000001,636225.2,1307.89,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4219.0,0.401304348
2013,25.78820486111111,6063.299999999999,382609.52,714.96,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,2648.0,0.319473684
2014,25.58458333333333,5625.4,655015.44,1431.87,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4339.0,0.3344
2015,25.677916666666665,4770.4,709647.54,1483.02,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4494.0,0.388636364
2016,25.85708333333333,3932.0,272478.5,622.3,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1778.0,0.390625
