Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,26.99841369047619,2830.7,2978059.64,9700.52,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,31292.0,True,95.99391304
1998,28.32134821428572,2708.5,316071080.0,927739.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3199100.0,False,1.040434783
1999,27.42448214285714,2370.7000000000003,345336407.0,878553.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3253900.0,False,1.213846154
2000,26.7890625,2296.4,302059273.0,799994.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3076900.0,False,0.881153846
2001,26.55274107142857,2117.9,317083011.0,807222.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3104700.0,False,0.897307692
2002,27.221714285714285,2181.1,265066533.0,699975.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2799900.0,False,0.99037037
2003,27.86675,2327.3,273422352.0,662976.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2762400.0,False,1.181111111
2004,27.609267857142857,2144.3,307631430.0,596295.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2839500.0,False,1.088888889
2005,26.54633928571429,2978.6,344770000.0,603750.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2875000.0,False,1.218148148
2006,28.352107142857143,3095.0,396782199.0,683518.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3106900.0,False,1.454444444
2007,27.74430357142857,2849.2,426266360.0,511264.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3195400.0,False,2.172962963
