Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,24.979125,5214.4,17756723.43,57839.49,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,186579.0,False,False,False,1.078333333
1997,25.70085185185185,65.9,434451.05,1415.15,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4565.0,True,False,False,1.869444444
1998,25.59780902777778,5673.7,16827517.2,49392.51,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,170319.0,False,False,True,1.123703704
2000,25.198211805555555,5270.9,16975360.06,44958.68,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,172918.0,False,False,True,1.049259259
2001,25.10689236111111,4635.9,19717932.71,50197.42,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,193067.0,False,False,True,1.082962963
2003,25.25296875,4308.2,6916326.48,16770.24,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,69876.0,False,False,True,1.505185185
2004,25.26332986111112,4845.3,16502673.82,31987.83,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,152323.0,False,False,True,1.084814815
2005,24.76680208333333,4599.1,13916356.24,24369.87,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,116047.0,False,False,False,0.830384615
2005,25.197131944444447,27.1,349087.12,611.31,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,2911.0,True,False,False,1.676538462
2005,28.208458333333336,355.2,805262.8,1410.15,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6715.0,False,True,False,2.696923077
2006,25.54274652777778,5518.4,16924256.91,29154.62,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,132521.0,False,False,True,1.618888889
2007,25.024145833333336,5176.7,16858024.8,20219.52,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,126372.0,False,False,False,0.993928571
2007,25.644400462962963,28.1,570018.2,683.68,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4273.0,True,False,False,1.742307692
2007,28.56861111111111,283.70000000000005,808270.6,969.44,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6059.0,False,True,False,3.404
2008,25.3983125,4024.900000000001,15617822.4,9826.65,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,109185.0,False,False,False,1.025714286
2008,25.49276851851852,425.4,844365.12,531.27,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5903.0,True,False,False,1.681111111
2008,27.763,240.9,1033464.0,650.25,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7225.0,False,True,False,3.233076923
2009,25.946844907407407,73.30000000000001,990080.28,1080.18,56.7,37.11,46.73,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6354.0,True,False,False,2.896071429
