Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Potassium_High_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,24.979125,5214.4,344420.23,1121.89,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,3619.0,False,1.262307692
1998,25.58305208333333,4707.1,384924.8,1129.84,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,3896.0,False,12.75944444
2000,24.549802083333333,4289.0,1056112.86,2797.08,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,10758.0,False,12.76823529
2001,24.55059375,3719.3,1090442.01,2776.02,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,10677.0,False,12.86277778
2003,25.057322916666667,3632.3,819653.38,1987.44,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,8281.0,False,12.818125
2004,24.960270833333336,3714.9,1193798.46,2313.99,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,11019.0,False,12.84
2005,25.15569444444445,5597.7,2598546.48,4550.49,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,21669.0,True,12.82411765
2006,25.54274652777778,5518.4,2231349.12,3843.84,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,17472.0,True,12.83352941
2007,25.526805555555555,5928.1,1971652.0,2364.8,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,14780.0,True,19.98210526
2008,25.61801388888889,5059.4,3643944.0,2292.75,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,25475.0,True,31.86789474
2009,25.889229166666667,5933.9,6986501.34,7622.29,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,44837.0,True,31.71
2010,25.31106944444444,5779.700000000001,7718965.59,11152.56,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,46469.0,True,3.717894737
2011,25.291402777777776,5651.2,4923077.76,9698.04,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,29388.0,True,3.161666667
2012,25.613322916666664,4924.530000000001,2490160.4,5119.03,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,16513.0,True,31.67157895
2013,25.78820486111111,6063.299999999999,2739096.93,5118.39,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,18957.0,True,27.30210526
2014,25.58458333333333,5625.4,4647605.52,10159.71,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,30787.0,True,28.71863636
2015,25.677916666666665,4770.4,4624394.35,9664.05,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,29285.0,True,36.35782609
2016,25.85708333333333,3932.0,3538236.0,8080.8,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,23088.0,True,25.64045455
2017,25.77208333333333,4748.9,3276168.96,7907.42,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,20809.0,True,25.74913043
2018,25.796666666666667,4748.9,2572167.6,5550.3,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,15858.0,True,15.20103448
2019,25.646666666666665,4748.9,3845362.88,8283.56,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,22388.0,True,10.60275862
1999,24.90653125,4161.5,791835.93,2014.47,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7461.0,False,12.85294118
2002,24.7044375,2992.8,1035689.8,2735.0,6.82,64.05,40.78,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,10940.0,False,12.796
