Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,9817.0,26.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,100.0,False,1.1575
2000,26.46145410628019,96.1,19708903.71,52198.38,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,200763.0,True,1.4145
2001,27.75952173913044,1677.9,9293.83,23.66,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,91.0,False,1.092857143
2001,26.4160845410628,72.6,29115833.18,74122.36,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,285086.0,True,1.419
2002,28.03126086956522,1325.7999999999995,3502.79,9.25,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,37.0,False,1.0075
2002,26.867652173913044,108.3,36931997.71,97528.25,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,390113.0,True,1.162380952
2003,28.460304347826085,1910.8,5146.96,12.48,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,52.0,False,1.656666667
2003,26.360760869565222,126.3,41775399.82,101294.16,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,422059.0,True,1.338947368
2005,26.50376328502416,140.7,47301604.56,82833.03,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,394443.0,True,1.602631579
2006,26.26947101449275,106.4,76848853.95,132383.9,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,601745.0,True,1.465
2008,26.540917874396133,374.0,86743175.04,54578.34,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,606426.0,True,1.627619048
2009,27.30935024154589,13.6,100799023.1,109971.98,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,646894.0,True,1.386818182
2010,26.671995169082123,51.7,96935649.93,140055.12,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,583563.0,True,1.36
2011,26.90242270531401,46.2,94607590.08,186368.82,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,564754.0,True,1.1105
2012,27.089132850241544,52.400000000000006,102694800.0,211110.0,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,681000.0,True,1.322
2013,27.014550724637683,106.8,68254186.2,127542.6,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,472380.0,True,1.639090909
2014,26.80463768115942,85.5,51592995.36,112782.78,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,341766.0,True,1.636153846
2015,28.68826086956522,1859.7,315.82,0.66,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2.0,False,1.0
2015,26.92608695652174,83.9,74395980.39,155472.57,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,471129.0,True,1.478333333
2016,28.707391304347823,1961.1,766.25,1.75,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5.0,False,0.4
2016,27.209130434782608,27.700000000000003,60852969.75,138979.05,23.8,32.59,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,397083.0,True,1.21
