Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,27.36328571428572,2066.5,68246407.0,222301.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,717100.0,False,0.408148148
1998,26.2708511904762,48.3,89334960.0,262218.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,904200.0,True,0.615714286
1999,26.425968253968254,34.099999999999994,97639600.0,248400.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,920000.0,True,0.614
2000,25.90545833333333,23.0,66382554.0,175812.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,676200.0,True,0.500967742
2001,25.806301587301583,34.7,77240919.0,196638.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,756300.0,True,0.583870968
2002,26.160609126984127,23.6,75376254.0,199050.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,796200.0,True,0.566129032
2003,25.903287698412697,18.2,78708896.0,190848.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,795200.0,True,0.555806452
2004,25.885164682539685,23.700000000000003,89911366.0,174279.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,829900.0,True,0.538709677
2005,25.87761507936508,120.20000000000002,122366368.0,214284.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1020400.0,True,0.662580645
2006,25.60499603174603,88.4,167057451.0,287782.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1308100.0,True,0.687096774
2007,26.544107142857143,4.6,180530220.0,216528.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1353300.0,True,0.808064516
2008,25.567839285714285,54.2,163537632.0,102897.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1143300.0,True,0.66483871
2009,26.235599206349207,4.1,201225948.0,219538.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1291400.0,True,0.795806452
2010,25.96399007936508,41.3,238849569.0,345096.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1437900.0,True,0.866451613
2011,26.14673611111112,6.4,180100752.0,354783.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1075100.0,True,0.798387097
2012,26.43211904761905,3.2,171082600.0,351695.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1134500.0,True,0.712666667
2013,26.60002380952381,43.1,219552555.0,410265.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1519500.0,True,0.863333333
2014,26.251071428571432,196.6,215495400.0,471075.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1427500.0,True,0.731612903
2015,26.38773809523809,184.4,227709378.2,475866.6,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1442020.0,True,0.561515152
2016,26.38202380952381,47.7,295639172.5,675195.5,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1929130.0,True,0.9825
2017,26.36666666666667,11.4,351728989.4,848939.38,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2234051.0,True,0.904375
2018,26.32857142857144,11.4,274802484.0,592977.0,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1694220.0,True,0.852903226
2019,26.38297619047619,11.4,350941406.1,755986.96,2.47,82.56,19.53,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2043208.0,True,0.963030303
