Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.069349206349205,37.3,83922714.23,273363.89,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,881819.0,0.823037975
1998,22.6921873015873,117.6,87582544.4,257074.27,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,886463.0,0.888987342
1999,23.25118888888889,69.7,87238435.48,221938.92,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,821996.0,0.96425
2000,22.119425396825395,91.8,81776297.19,216581.82,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,833007.0,0.946231884
2001,22.475065873015875,41.4,85850682.26,218556.52,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,840602.0,0.993623188
2003,22.219519841269847,163.40000000000003,4157.16,10.08,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,42.0,1.52
2003,22.219519841269843,163.4,76381084.36,185203.68,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,771682.0,1.042714286
2004,22.55540634920635,71.6,6175.38,11.97,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,57.0,1.32
2005,22.78578095238095,168.40000000000003,5636.24,9.87,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,47.0,1.43
2006,22.58660555555556,64.20000000000002,5746.95,9.9,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,45.0,1.44
2006,22.58660555555556,64.2,86189435.64,148474.48,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,674884.0,0.817246377
2007,22.48734285714286,293.8,67337251.8,80764.32,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,504777.0,0.908695652
2008,21.62015873015873,10.2,79306239.36,49899.06,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,554434.0,1.073188406
2009,22.56987063492064,24.0,96328235.64,105094.34,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,618202.0,0.890441176
2010,23.403861904761907,44.8,94730705.79,136869.36,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,570289.0,1.03115942
2011,23.06541349206349,55.99999999999999,96606103.68,190305.72,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,576684.0,1.253529412
2012,22.898169841269844,49.4,91085462.0,187244.65,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,604015.0,1.179275362
2013,23.03207936507937,240.40000000000003,83401650.86,155847.78,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,577214.0,0.641911765
2014,22.787571428571425,246.0,84257116.32,184186.86,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,558142.0,0.490746269
2015,22.884714285714285,278.7,42261295.39,88317.57,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,267629.0,0.708461538
2016,22.808761904761905,52.400000000000006,86078379.5,196590.1,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,561686.0,1.237164179
2017,23.13619047619048,87.4,78839969.28,190289.56,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,500762.0,1.201449275
2018,22.990571428571428,87.4,92840522.6,200334.05,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,572383.0,1.325384615
2019,22.846714285714285,87.4,106624485.8,229687.12,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,620776.0,1.258
1998,22.6921873015873,117.59999999999998,15017.6,44.08,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,152.0,0.24
1999,23.25118888888889,69.7,6580.06,16.74,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,62.0,0.21
2000,22.119425396825395,91.79999999999998,4908.5,13.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,50.0,0.16
2001,22.475065873015872,41.39999999999999,5208.63,13.26,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,51.0,0.16
2002,22.34032142857143,149.8,6910.91,18.25,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,73.0,0.22
2002,22.34032142857143,149.8,80984126.12,213859.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,855436.0,0.888695652
2004,22.55540634920635,71.6,75078211.58,145527.27,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,692987.0,0.951857143
2005,22.78578095238095,168.4,88604690.8,155161.65,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,738865.0,1.163428571
2007,22.487342857142856,293.80000000000007,6269.8,7.52,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,47.0,1.45
2008,21.620158730158728,10.2,6865.92,4.32,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,48.0,1.46
2009,22.56987063492064,24.0,11842.32,12.92,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,76.0,0.88
2010,23.403861904761907,44.8,1328.88,1.92,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,8.0,9.38
2011,23.06541349206349,55.99999999999999,2177.76,4.29,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,13.0,5.54
