Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
1997,28.006107142857143,1644.9,173808971.0,566153.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1826300.0,False,1.22
1997,28.87636507936508,10.2,9507483.0,30969.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,99900.0,True,1.562631579
1998,29.63939285714285,1381.9,179134280.0,525799.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1813100.0,False,1.247894737
1998,28.96157142857143,0.0,12616760.0,37033.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,127700.0,True,1.553684211
1999,28.471535714285714,633.9,187712131.0,477549.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1768700.0,False,0.505789474
1999,29.27622222222222,139.3,7131936.0,18144.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,67200.0,True,1.476111111
2000,27.80692857142857,791.3,168086674.0,445172.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1712200.0,False,0.441052632
2000,28.506492063492065,39.0,3200342.0,8476.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,32600.0,True,1.504736842
2001,27.75467857142857,1313.0,189011991.0,481182.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1850700.0,False,1.281052632
2001,28.210761904761902,3.4000000000000004,3778810.0,9620.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,37000.0,True,1.344210526
2002,28.211273809523806,939.2,186746042.0,493150.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1972600.0,False,0.633157895
2002,28.827555555555552,0.0,5377256.0,14200.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,56800.0,True,1.547222222
2003,28.348130952380952,1834.9,189328944.0,459072.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1912800.0,False,2.132272727
2003,28.210619047619048,0.0,8967588.0,21744.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,90600.0,True,1.52952381
