Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Yield (t/ha)
1997,24.979125,5214.4,80672373.22,262776.46,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,847666.0,False,False,0.709411765
1997,25.70085185185185,65.9,18312230.72,59648.96,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,192416.0,True,False,1.133333333
1998,25.58305208333333,4707.1,100042607.6,293647.33,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1012577.0,False,False,0.8568
1998,25.41422685185185,5.3,21483566.0,63059.05,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,217445.0,True,False,1.3052
2000,24.549802083333333,4289.0,86744091.87,229738.86,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,883611.0,False,False,0.9464
2000,25.34925,36.6,17651358.68,46749.04,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,179804.0,True,False,1.173846154
2001,24.55059375,3719.3,87294698.33,222232.66,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,854741.0,False,False,0.843846154
2003,25.057322916666667,3632.3,67086565.42,162666.96,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,677779.0,False,False,0.5316
2003,25.134583333333328,53.5,13804146.72,33471.36,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,139464.0,True,False,1.0496
2004,24.960270833333336,3714.9,88061568.84,170693.46,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,812826.0,False,False,0.6988
2004,25.23060879629629,51.5,16874063.34,32707.71,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,155751.0,True,False,1.042692308
2005,24.76680208333333,4599.1,104055063.7,182217.84,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,867704.0,False,False,0.562
2005,25.197131944444447,27.1,20670370.56,36197.28,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,172368.0,True,False,0.9764
2006,25.50973958333333,4325.9,78923758.32,135958.24,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,617992.0,False,False,0.4028
2006,25.36054861111112,58.2,18585891.72,32017.04,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,145532.0,True,False,0.9432
2007,25.024145833333336,5176.7,98311931.4,117915.36,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,736971.0,False,False,0.732592593
2007,25.644400462962963,28.1,22842215.4,27396.96,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,171231.0,True,False,0.964285714
2008,25.3983125,4024.900000000001,99325545.6,62495.1,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,694390.0,False,False,0.56962963
2008,25.49276851851852,425.4,22297933.44,14029.74,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,155886.0,True,False,0.898928571
2009,25.48991666666667,4671.3,94900924.44,103537.14,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,609042.0,False,False,0.577692308
2009,25.946844907407407,73.30000000000001,32489716.56,35446.36,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,208508.0,True,False,0.949642857
2010,24.78228125,4362.1,109423135.3,158097.36,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,658739.0,False,False,0.797407407
2010,25.41565509259259,46.1,31064729.43,44883.12,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,187013.0,True,False,1.024482759
2011,24.66627083333333,4668.7,85409736.96,168249.84,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,509848.0,False,False,0.694444444
2011,25.4684212962963,59.1,28109185.92,55372.68,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,167796.0,True,False,0.968928571
2012,25.054541666666665,3737.9,61020616.8,125440.26,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,404646.0,False,False,0.604642857
2012,25.78165046296297,71.97,2837754.4,5833.58,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,18818.0,True,False,1.695
2012,28.204944444444447,299.4,24943224.8,51275.86,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,165406.0,False,True,0.887826087
2013,25.24325,5089.7,68341169.18,127705.14,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,472982.0,False,False,0.8375
2013,25.87245833333333,73.6,583884.09,1091.07,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4041.0,True,False,1.855
2013,28.72975,331.9,25704193.04,48031.92,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,177896.0,False,True,0.96375
2014,25.42083333333333,4439.900000000001,72381546.0,158226.75,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,479475.0,False,False,0.740714286
2014,25.667777777777776,58.0,561571.2,1227.6,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,3720.0,True,False,2.0
2014,28.261666666666667,519.0,25768721.04,56330.67,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,170699.0,False,True,0.94173913
2015,25.2925,3490.8,64123461.16,134005.08,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,406076.0,False,False,0.726071429
2015,25.73708333333333,90.9,575739.86,1203.18,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,3646.0,True,False,1.88
2015,28.16541666666667,524.4,25322921.33,52919.79,56.7,6.19,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,160363.0,False,True,0.750434783
