Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,27.97224444444445,1968.7,24020908.0,78244.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,252400.0,False,False,1.031142857
1998,29.576200000000004,1758.9,24620960.0,72268.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,249200.0,False,False,1.080434783
1999,28.6047,2267.2,23728863.79,60367.41,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,223583.0,False,False,1.014666667
2000,28.06177222222222,1446.5,20764427.55,54993.9,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,211515.0,False,False,1.030222222
2001,27.420272222222223,1717.4,21861232.89,55653.78,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,214053.0,False,False,1.023333333
2002,28.52985555555556,1506.6,19386522.6,51195.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,204780.0,False,False,0.688888889
2003,28.91477222222222,2269.3,21216659.94,51444.72,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,214353.0,False,False,1.045416667
2004,28.54101111111111,1679.5,22935144.64,44456.16,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,211696.0,False,False,1.151276596
2005,27.47826111111112,1928.6,24558776.56,43006.53,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,204793.0,False,False,1.007659574
2006,29.228372222222223,1906.0,25188371.01,43390.82,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,197231.0,False,False,0.862708333
2007,28.616983333333334,1339.7000000000005,26823805.2,32172.48,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,201078.0,False,False,0.910212766
2008,28.169416666666667,1723.6,28933702.08,18204.93,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,202277.0,False,False,0.997291667
2009,26.12574259259259,1820.9,32264400.84,35200.54,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,207062.0,False,True,0.996041667
