Year,Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,34580.0,101.5,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,350.0,1.18
1998,103542.4,303.92,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1048.0,2.03
1999,37145.5,94.5,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,350.0,1.47
1999,106554.52,271.08,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1004.0,1.76
2000,35341.2,93.6,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,360.0,1.58
2000,139499.57,369.46,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1421.0,1.82
2001,15115.24,38.48,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,148.0,0.93
2001,154726.95,393.9,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1515.0,1.58
2002,22815.47,60.25,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,241.0,1.44
2002,203351.16,537.0,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2148.0,1.82
2003,32168.5,78.0,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,325.0,1.12
2003,291991.0,708.0,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2950.0,1.8
2013,56929.06,106.38,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,394.0,2.41
2013,317444.53,593.19,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2197.0,2.285
2014,54496.56,119.13,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,361.0,2.03
2014,288333.6,630.3,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1910.0,1.87
2015,57005.51,119.13,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,361.0,2.04
2015,242707.67,507.21,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1537.0,2.15
2016,51492.0,117.6,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,336.0,2.56
2016,207194.0,473.2,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1352.0,2.3
2017,44083.2,106.4,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,280.0,2.33
2017,197902.08,477.66,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1257.0,2.24
2018,34062.0,73.5,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,210.0,2.37
2018,34710.8,74.9,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,214.0,2.32
