Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,1357102.08,3594.24,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,13824.0,False,0.5
2000,26.46145410628019,96.1,6360336.13,16845.14,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,64789.0,True,0.209545455
2001,27.75952173913044,1677.9,1165507.56,2967.12,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,11412.0,False,0.368888889
2001,26.4160845410628,72.6,7039514.51,17921.02,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,68927.0,True,0.458095238
2002,28.03126086956522,1325.7999999999995,1416357.87,3740.25,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,14961.0,False,0.420833333
2002,26.867652173913044,108.3,6293661.6,16620.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,66480.0,True,0.294090909
2003,28.460304347826085,1910.8,1118869.92,2712.96,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,11304.0,False,0.35
2003,26.360760869565222,126.3,6749446.2,16365.6,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,68190.0,True,0.463333333
2005,28.06011956521739,2050.8,1189486.48,2082.99,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,9919.0,False,0.43
2005,26.50376328502416,140.7,5600623.76,9807.63,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,46703.0,True,0.32
2006,28.76501086956522,1971.0,1316817.81,2268.42,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,10311.0,False,0.435
2006,26.26947101449275,106.4,6858410.13,11814.66,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,53703.0,True,0.4105
2008,28.817478260869567,1965.8,709907.52,446.67,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4963.0,False,0.489
2008,26.540917874396133,374.0,4912994.88,3091.23,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,34347.0,True,0.448095238
2009,28.937521739130435,1461.5,3141642.84,3427.54,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,20162.0,False,0.6
2009,27.30935024154589,13.6,6124193.46,6681.51,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39303.0,True,0.508571429
2010,27.977663043478262,2608.3,1035529.74,1496.16,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6234.0,False,0.4775
2010,26.671995169082123,51.7,5221003.41,7543.44,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,31431.0,True,0.44047619
2011,27.69583695652173,1722.1,984682.56,1939.74,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5878.0,False,0.375
2011,26.90242270531401,46.2,4185152.16,8244.39,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,24983.0,True,0.345
2012,28.328913043478263,2018.2,754000.0,1550.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5000.0,False,0.556666667
2012,27.089132850241544,52.400000000000006,4071600.0,8370.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,27000.0,True,0.566666667
2013,28.44332608695652,2047.2,1266888.32,2367.36,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,8768.0,False,0.58125
2013,27.014550724637683,106.8,2808596.62,5248.26,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19438.0,True,0.4925
2014,28.74739130434783,1411.6,1589457.84,3474.57,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,10529.0,False,0.37
2014,26.80463768115942,85.5,3707879.52,8105.46,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,24562.0,True,0.434166667
2015,28.68826086956522,1859.7,5556852.9,11612.7,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,35190.0,False,0.363333333
2015,26.92608695652174,83.9,3565134.07,7450.41,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,22577.0,True,0.5475
2016,28.707391304347823,1961.1,216235.75,493.85,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1411.0,False,0.155
2016,27.209130434782608,27.700000000000003,1750881.25,3998.75,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,11425.0,True,0.461666667
2017,28.681304347826085,1841.0,2649400.32,6394.64,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,16828.0,False,0.286666667
2017,26.97188405797101,38.8,3446361.6,8318.2,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,21890.0,True,0.658333333
2018,28.38086956521739,1841.0,9265188.4,19992.7,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,57122.0,False,0.136
2018,26.912173913043475,38.8,10003847.2,21586.6,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,61676.0,True,0.555384615
