Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,24.979125,5214.4,17023248.24,55450.32,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,178872.0,False,0.45
1997,25.70085185185185,65.9,15529174.41,50583.63,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,163173.0,True,0.514705882
1998,25.58305208333333,4707.1,18721216.8,54950.94,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,189486.0,False,0.504615385
1998,25.41422685185185,5.3,13316165.2,39085.91,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,134779.0,True,0.4492
2000,24.549802083333333,4289.0,15899515.03,42109.34,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,161959.0,False,0.63625
2000,25.34925,36.6,13077520.21,34635.38,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,133213.0,True,0.454583333
2001,24.55059375,3719.3,15851290.91,40353.82,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,155207.0,False,0.5225
2001,25.23631712962963,6.9,19208201.88,48899.76,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,188076.0,True,0.3728
2003,25.057322916666667,3632.3,10790700.62,26164.56,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,109019.0,False,0.341666667
2003,25.134583333333328,53.5,16302302.94,39528.72,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,164703.0,True,0.256153846
2004,24.960270833333336,3714.9,15247879.94,29555.61,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,140741.0,False,0.553461538
2004,25.23060879629629,51.5,15421223.94,29891.61,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,142341.0,True,0.3556
2005,24.76680208333333,4599.1,14954263.84,26187.42,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,124702.0,False,0.609166667
2005,25.197131944444447,27.1,17332037.6,30351.3,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,144530.0,True,0.453461538
2006,25.50973958333333,4325.9,14277084.03,24594.46,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,111793.0,False,0.370434783
2006,25.36054861111112,58.2,27144121.95,46759.9,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,212545.0,True,0.368076923
2007,25.024145833333336,5176.7,13374950.8,16041.92,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,100262.0,False,0.563333333
2007,25.644400462962963,28.1,16908183.2,20279.68,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,126748.0,True,0.490714286
2008,25.3983125,4024.900000000001,13510128.0,8500.5,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,94450.0,False,0.4976
2008,25.49276851851852,425.4,17474338.56,10994.76,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,122164.0,True,0.416428571
2009,25.48991666666667,4671.3,17860400.04,19485.74,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,114622.0,False,0.4852
2009,25.946844907407407,73.30000000000001,17577119.28,19176.68,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,112804.0,True,0.455714286
2010,24.78228125,4362.1,14659871.94,21180.96,56.7,37.11,46.73,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,88254.0,False,0.621538462
