Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
1997,28.20156666666667,110.8,90601.84,295.12,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,952.0,False,True,False,0.274444444
1997,20.91443333333333,81.99999999999999,10923517.43,35581.49,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,114779.0,False,False,True,0.303448276
1999,24.27021851851852,1.7,30812722.9,78389.1,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,290330.0,True,False,False,0.330869565
2000,27.673191666666664,937.6,7460527.32,19758.96,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,75996.0,False,False,False,0.217931034
2001,27.430825,1433.2,9311294.23,23704.46,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,91171.0,False,False,False,0.315172414
2002,27.959125,930.3,7190375.84,18988.0,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,75952.0,False,False,False,0.222666667
2003,27.854325000000003,1235.8,8693017.48,21078.24,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,87826.0,False,False,False,0.293103448
2019,29.758666666666667,63.900000000000006,6183.36,13.32,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,36.0,False,True,False,0.63
2019,22.11466666666667,6.5,3902730.72,8407.14,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,22722.0,False,False,True,0.400344828
2004,28.80792222222222,78.9,26001.6,50.4,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,240.0,False,True,False,0.21
2004,21.986283333333333,14.8,8461895.7,16402.05,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,78105.0,False,False,True,0.301666667
1998,27.8144,96.8,52166.4,153.12,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,528.0,False,True,False,0.105714286
1998,20.540466666666664,59.8,9525011.6,27958.03,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,96407.0,False,False,True,0.250666667
2005,29.425322222222224,65.8,52644.88,92.19,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,439.0,False,True,False,0.217777778
2005,22.088283333333333,40.5,8994000.0,15750.0,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,75000.0,False,False,True,0.287666667
2006,28.696744444444445,130.6,25158.87,43.34,3.1,67.7,39.66,29.09,42.16,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,197.0,False,True,False,0.242857143
