Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,28.006107142857143,1644.9,19776326.0,64418.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,207800.0,False,0.838666667
1997,24.75253968253968,2.3,7213886.0,23498.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,75800.0,True,0.890769231
1998,29.63939285714285,1381.9,17467840.0,51272.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,176800.0,False,0.908823529
1998,25.45367724867725,0.1,6145360.0,18038.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,62200.0,True,0.822727273
1999,28.471535714285714,633.9,15877048.0,40392.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,149600.0,False,1.183333333
1999,25.38056349206349,13.8,7047032.0,17928.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,66400.0,True,0.776
2000,27.80692857142857,791.3,12339969.0,32682.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,125700.0,False,0.59375
2000,24.545417989417988,0.1,3681375.0,9750.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,37500.0,True,0.485
2001,27.75467857142857,1313.0,14124579.0,35958.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,138300.0,False,0.888666667
2001,24.82593386243386,6.1,4503933.0,11466.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,44100.0,True,0.865
2002,28.211273809523806,939.2,9883548.0,26100.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,104400.0,False,0.636428571
2002,24.46891798941799,4.199999999999999,4894439.0,12925.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,51700.0,True,0.617
2003,28.348130952380952,1834.9,12085458.0,29304.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,122100.0,False,1.010526316
2003,24.262425925925925,6.6,4998490.0,12120.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,50500.0,True,0.720833333
2004,28.65139285714286,1428.0,7291282.0,14133.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,67300.0,False,1.135
2004,25.155402116402115,0.2,5904530.0,11445.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,54500.0,True,0.840833333
2005,27.521297619047623,1944.0,9617584.0,16842.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,80200.0,False,1.229047619
2005,24.82846560846561,0.0,5864088.0,10269.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,48900.0,True,0.98
2006,29.02797619047619,2162.5,12209076.0,21032.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,95600.0,False,1.106666667
2006,24.57371957671958,2.7,6500439.0,11198.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,50900.0,True,0.963333333
2007,28.10422619047619,2062.5,10858760.0,13024.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,81400.0,False,1.297777778
2007,25.03051851851852,2.5,6216440.0,7456.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,46600.0,True,1.046363636
2008,27.914571428571428,1486.9,17765568.0,11178.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,124200.0,False,1.2955
2008,24.28475396825397,0.3,7152000.0,4500.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,50000.0,True,0.9475
2009,28.537261904761905,1197.6999999999998,17420676.0,19006.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,111800.0,False,0.996818182
2009,24.88051322751323,0.3,8040312.0,8772.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,51600.0,True,1.084615385
2010,27.948678571428577,2078.9,12690804.0,18336.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,76400.0,False,1.065238095
2010,24.630904761904763,0.3,8205834.0,11856.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,49400.0,True,1.126470588
2011,28.195857142857147,1629.4,11424864.0,22506.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,68200.0,False,1.107857143
2011,24.78361111111111,1.6,9347616.0,18414.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,55800.0,True,1.084375
2012,27.55394047619048,1026.8000000000002,7464600.0,15345.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,49500.0,False,1.369285714
2012,24.785743386243382,0.1,4539080.0,9331.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,30100.0,True,1.083333333
2013,28.097369047619047,1701.9,21596631.32,40356.36,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,149468.0,False,1.374285714
2013,25.09412433862434,3.0,5438603.6,10162.8,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,37640.0,True,1.19
2014,28.582857142857144,1065.8000000000002,5426408.16,11862.18,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,35946.0,False,1.198235294
2014,24.854285714285712,6.4,5085087.6,11116.05,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,33685.0,True,1.308235294
2015,28.56,1036.0,11795403.27,24650.01,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,74697.0,False,1.305
2015,24.838095238095235,13.2,3848740.43,8043.09,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,24373.0,True,1.163529412
