Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_High_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Yield (t/ha)
1997,24.979125,5214.4,37086797.3,120803.9,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,389690.0,False,False,1.228
1997,25.70085185185185,65.9,142866539.2,465363.32,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1501172.0,True,False,0.510714286
1997,28.647611111111107,156.0,584058.29,1902.47,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6137.0,False,True,2.470909091
1998,25.58305208333333,4707.1,41575830.4,122034.32,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,420808.0,False,False,1.305714286
1998,25.41422685185185,5.3,140312005.6,411846.98,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1420162.0,True,False,0.7235
1998,28.080069444444444,196.0,879023.6,2580.13,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,8897.0,False,True,2.461333333
2000,24.549802083333333,4289.0,39558779.54,104770.12,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,402962.0,False,False,1.395238095
2000,25.34925,36.6,134828837.7,357089.72,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1373422.0,True,False,0.674210526
2000,27.886333333333337,405.2000000000001,577043.26,1528.28,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5878.0,False,True,2.018571429
2001,24.55059375,3719.3,30976846.04,78860.08,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,303308.0,False,False,1.202857143
