Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,27.97224444444445,1968.7,72529057.0,236251.0,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,762100.0,False,0.864545455
1997,23.78636049382716,8.3,789911.0,2573.0,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,8300.0,True,0.865
1998,29.576200000000004,1758.9,73526960.0,215818.0,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,744200.0,False,1.07862069
1998,24.09007160493827,71.5,928720.0,2726.0,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,9400.0,True,1.106363636
1999,28.6047,2267.2,70522217.57,179412.03,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,664489.0,False,0.979111111
1999,24.648112345679014,54.6,953259.66,2425.14,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,8982.0,True,1.187272727
2000,28.06177222222222,1446.5,60945408.55,161411.9,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,620815.0,False,0.860666667
2000,23.87493703703704,8.805,215090.47,569.66,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,2191.0,True,1.054166667
2001,27.420272222222223,1717.4,63571431.28,161838.56,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,622456.0,False,0.977555556
2001,24.12372962962964,8.7,477559.88,1215.76,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4676.0,True,1.232142857
2002,28.52985555555556,1506.6,60300151.17,159237.75,70.33,52.83,4.77,32.34,41.9,25.76,0.36,1.51,98.13,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,636951.0,False,0.852222222
