Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1997,27.36328571428572,2066.5,191596244.0,624092.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2013200.0,False,1.6468
1997,26.43958531746032,41.6,331857790.0,1080970.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3487000.0,True,0.442083333
1998,28.32134821428572,2708.5,193144120.0,566921.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1954900.0,False,1.37375
1998,26.2708511904762,48.3,278635760.0,817858.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2820200.0,True,0.6376
1999,27.42448214285714,2370.7000000000003,199704821.0,508059.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1881700.0,False,1.2288
1999,26.425968253968254,34.099999999999994,343510971.0,873909.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3236700.0,True,0.7024
2000,26.7890625,2296.4,187504700.0,496600.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1910000.0,False,1.168461538
2000,25.90545833333333,23.0,312524195.0,827710.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3183500.0,True,0.583214286
2001,26.55274107142857,2117.9,181822039.0,462878.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1780300.0,False,1.109230769
2001,25.806301587301583,34.7,342819771.0,872742.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3356700.0,True,0.722142857
2002,27.221714285714285,2181.1,162671461.0,429575.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1718300.0,False,1.252857143
2002,26.160609126984127,23.6,292151620.0,771500.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3086000.0,True,0.691428571
2003,27.86675,2327.3,156992178.0,380664.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1586100.0,False,1.253333333
2003,25.903287698412697,18.2,282479022.0,684936.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2853900.0,True,0.610740741
2004,27.609267857142857,2144.3,166074386.0,321909.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1532900.0,False,1.129230769
2004,25.885164682539685,23.700000000000003,349201488.0,676872.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3223200.0,True,0.674615385
2005,26.54633928571429,2978.6,176570208.0,309204.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1472400.0,False,1.138846154
2005,25.87761507936508,120.20000000000002,391850592.0,686196.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3267600.0,True,0.713846154
2006,28.352107142857143,3095.0,179968932.0,310024.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1409200.0,False,1.118846154
2006,25.60499603174603,88.4,409808619.0,705958.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3208900.0,True,0.795769231
2007,27.74430357142857,2849.2,169498040.0,203296.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1270600.0,False,1.378846154
2007,26.544107142857143,4.6,383778460.0,460304.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2876900.0,True,0.9212
2008,27.217419642857145,2241.8,121197792.0,76257.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,847300.0,False,1.185384615
2008,25.567839285714285,54.2,461146656.0,290151.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3223900.0,True,0.8396
2009,28.146830357142857,1893.9,165839226.0,180931.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1064300.0,False,1.0732
2009,26.235599206349207,4.1,484911840.0,529040.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3112000.0,True,0.884
2010,26.76499107142857,2984.5,171375687.0,247608.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1031700.0,False,1.2292
2010,25.96399007936508,41.3,502898025.0,726600.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3027500.0,True,0.859259259
2011,27.068401785714286,2287.8,150030912.0,295548.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,895600.0,False,1.426
2011,26.14673611111112,6.4,390891168.0,770022.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2333400.0,True,0.805185185
2012,27.12486607142857,2104.5,134015960.0,275497.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,888700.0,False,1.2828
2012,26.43211904761905,3.2,362100960.0,744372.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2401200.0,True,0.7136
2013,27.08704464285714,2986.8,116141062.0,217026.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,803800.0,False,1.0888
2013,26.60002380952381,43.1,401783343.0,750789.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2780700.0,True,0.864166667
2014,27.799642857142857,1898.9,102667896.0,224433.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,680100.0,False,0.95625
2014,26.251071428571432,196.6,393718776.0,860673.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2608100.0,True,0.717307692
2015,27.679285714285715,1762.9,98030528.0,204864.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,620800.0,False,0.638
2015,26.38773809523809,184.4,410060688.0,856944.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2596800.0,True,0.533846154
2016,27.69464285714286,2695.1,92474115.0,211197.0,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,603420.0,False,0.926153846
2016,26.38202380952381,47.7,461593597.5,1054210.5,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,3012030.0,True,0.906153846
2017,27.679642857142856,2225.9,89000517.12,214813.24,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,565298.0,False,0.904230769
2017,26.36666666666667,11.4,456395731.2,1101564.9,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,2898855.0,True,0.785384615
2018,27.225357142857145,2225.9,86015633.2,185607.1,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,530306.0,False,0.718846154
2018,26.32857142857144,11.4,309632825.4,668134.95,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,1908957.0,True,0.55
2019,27.68642857142857,2225.9,66965960.56,144255.97,82.56,26.32,54.15,19.53,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,389881.0,False,0.601481481
