Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,26.730654761904763,1763.4,8995468.4,29301.2,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,94520.0,9.919565217
1998,26.755261904761905,1947.4,7775757.6,22823.58,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,78702.0,9.040869565
1999,26.72107142857143,1710.1,7805330.85,19857.15,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,73545.0,9.13173913
2000,26.61219047619048,1666.6,6824091.21,18073.38,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,69513.0,9.794782609
2001,26.819119047619047,1413.3,6963019.14,17726.28,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,68178.0,9.675652174
2002,26.72017857142857,1589.8,6429513.05,16978.75,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,67915.0,9.963478261
2003,26.716011904761903,1573.3,6337392.46,15366.48,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,64027.0,10.2626087
2005,27.55964285714285,1525.2,6806299.44,11918.97,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,56757.0,10.28740741
2006,26.973404761904764,1208.2,7364141.73,12685.86,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,57663.0,9.352962963
2007,27.08715476190476,1975.1,7982922.8,9574.72,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,59842.0,10.37444444
