Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,29.02877777777778,1148.3,14040144.59,45733.37,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,147527.0,8.642631579
1998,29.59954861111111,1127.1,14457206.4,42435.12,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,146328.0,5.061176471
1999,29.479569444444444,1193.0,15826423.99,40263.21,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,149123.0,7.803888889
2000,29.2015625,1047.7,13282008.32,35176.96,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,135296.0,8.147692308
2001,29.476097222222226,949.8,14567312.55,37085.1,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,142635.0,6.347777778
2002,29.113645833333333,943.2,13991847.32,36949.0,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,147796.0,6.593076923
2003,29.56033333333333,1082.2,15301120.24,37101.12,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,154588.0,8.015333333
2004,29.647777777777776,956.4,14566313.0,28234.5,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,134450.0,7.890714286
2005,29.499923611111107,796.7,15715396.08,27520.29,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,131049.0,11.93454545
2006,29.54027777777777,936.3,16974446.94,29241.08,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,132914.0,10.92642857
