Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,28.391791666666663,3312.5,61058597.58,198887.94,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,641574.0,13.44588235
1998,28.669541666666664,3858.4,60472120.8,177499.14,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,612066.0,13.24705882
1999,28.63052777777778,4055.1,65155647.99,165759.21,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,613923.0,13.94058824
2000,28.44797222222222,3341.7000000000003,60177620.98,159378.44,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,612994.0,13.52411765
2001,28.75180555555556,2838.7,66569763.82,169471.64,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,651814.0,15.42705882
2002,28.66795833333333,3142.2,60216368.22,159016.5,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,636066.0,14.35235294
2003,28.641430555555555,2823.2,61409270.58,148901.04,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,620421.0,14.47764706
2005,28.65290277777778,2947.8,67027844.96,117376.98,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,558938.0,14.95882353
2006,28.62097222222222,3077.0,75971358.54,130872.28,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,594874.0,14.85647059
2007,28.43022222222222,3666.7,81349587.8,97570.72,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,609817.0,14.07352941
