Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.368800925925925,14.5,5735420.05,18682.15,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,60265.0,0.555471698
1998,22.896970679012345,43.2,5737316.0,16840.3,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,58070.0,0.641153846
1999,23.445368827160493,0.7000000000000001,4669295.48,11878.92,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,43996.0,0.565135135
2000,22.821478395061728,16.2,4106254.76,10875.28,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,41828.0,0.713055556
2001,22.620851851851853,4.5,4146375.87,10555.74,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,40599.0,0.72
2002,22.94225,26.9,2760198.52,7289.0,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,29156.0,0.748
2003,22.37628703703704,63.10000000000001,3434210.08,8327.04,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,34696.0,0.771315789
2004,23.10679783950617,27.0,2985850.4,5787.6,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,27560.0,0.848421053
2005,23.009175925925927,40.3,3254029.2,5698.35,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,27135.0,0.851315789
2006,22.995984567901235,2.0,3651356.61,6290.02,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,28591.0,0.844054054
2007,23.0038950617284,59.8,3669433.8,4401.12,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,27507.0,0.828108108
2008,22.386140432098767,33.2,3712889.28,2336.13,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,25957.0,0.844054054
2009,23.0876975308642,1.8,3537425.64,3859.34,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,22702.0,0.848648649
2010,23.772777777777776,1.4,3822523.32,5522.88,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,23012.0,0.820540541
2011,23.28091049382716,21.1,3925663.68,7733.22,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,23434.0,0.872894737
2012,23.63068209876544,28.1,3312925.2,6810.39,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,21969.0,0.868285714
2013,23.352901234567906,28.300000000000004,2698206.26,5041.98,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,18674.0,0.854705882
2014,23.092685185185186,58.9,2481631.44,5424.87,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,16439.0,0.864705882
2015,23.366203703703704,41.8,2373861.03,4960.89,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,15033.0,0.873333333
2016,23.224166666666665,15.5,1943823.0,4439.4,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,12684.0,0.838857143
2017,23.418796296296296,23.5,1907543.04,4604.08,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,12116.0,0.846363636
2018,23.314351851851853,23.5,1566365.4,3379.95,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,9657.0,0.853
2019,23.02462962962963,23.5,1417707.04,3053.98,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,8254.0,0.849655172
