Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,23.78636049382716,8.3,36821273.0,119939.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,386900.0,False,0.37255814
1998,24.09007160493827,71.5,35232080.0,103414.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,356600.0,False,0.402280702
1999,24.648112345679014,54.6,34703660.96,88287.84,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,326992.0,False,0.425689655
2000,23.87493703703704,8.805,15932303.81,42196.18,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,162293.0,False,0.418636364
2001,24.12372962962964,8.7,16723072.59,42573.18,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,163743.0,False,0.488409091
2002,24.057007407407408,54.2,13471256.99,35574.25,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,142297.0,False,0.429111111
2003,23.888262962962965,84.80000000000001,14192148.32,34412.16,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,143384.0,False,0.579148936
2004,24.124056790123458,37.0,13988969.14,27115.41,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,129121.0,False,0.567446809
2005,24.1851987654321,102.3,15860619.2,27774.6,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,132260.0,False,0.592826087
2006,23.66238765432099,94.6,16096312.98,27728.36,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,126038.0,False,0.589130435
2007,24.159820987654324,57.7,14466429.6,17351.04,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,108444.0,False,0.5075
2008,23.28288148148148,17.3,15555313.92,9787.32,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,108748.0,False,0.622340426
2009,26.12574259259259,1820.9,16667442.12,18184.22,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,106966.0,True,0.684468085
2010,24.30867037037037,21.8,15679787.34,22654.56,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,94394.0,False,0.543695652
2011,24.411982716049383,4.6,15273300.96,30087.09,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,91173.0,False,0.927777778
2012,24.426802469135804,46.900000000000006,13250494.4,27239.08,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,87868.0,False,0.759761905
2013,24.712383950617284,100.8,12834324.25,23982.75,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,88825.0,False,0.671666667
2014,24.372814814814813,164.2,10869120.0,23760.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,72000.0,False,0.69
2015,24.445111111111107,221.8,18001740.0,37620.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,114000.0,False,0.5675
2016,24.53651851851852,47.7,18236750.0,41650.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,119000.0,False,0.558823529
2017,24.67125925925926,21.3,25505280.0,61560.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,162000.0,False,0.675609756
