Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Organic_Carbon_High_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.069349206349205,37.3,7778529.61,25337.23,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,81733.0,0.421320755
1998,22.6921873015873,117.6,7113106.0,20878.55,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,71995.0,0.3625
1999,23.25118888888889,69.7,7345681.82,18687.78,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,69214.0,0.43875
2000,22.119425396825395,91.8,5426739.43,14372.54,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,55279.0,0.354259259
2001,22.475065873015875,41.4,4179976.64,10641.28,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,40928.0,0.3948
2003,22.219519841269843,163.4,3606336.3,8744.4,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,36435.0,0.5034
2006,22.58660555555556,64.2,4311361.89,7426.98,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,33759.0,0.325217391
2007,22.48734285714286,293.8,4037617.8,4842.72,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,30267.0,0.265348837
2008,21.62015873015873,10.2,4428661.44,2786.49,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,30961.0,0.443333333
2009,22.56987063492064,24.0,5350702.98,5837.63,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,34339.0,0.401891892
2010,23.403861904761907,44.8,5056886.73,7306.32,98.35,15.19,63.87,20.94,10.56,79.11,1.08,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,30443.0,0.4825
