Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,42266504.48,111941.44,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,430544.0,False,2.564545455
2000,26.46145410628019,96.1,9534564.91,25251.98,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,97123.0,True,5.019545455
2001,27.75952173913044,1677.9,34472245.29,87758.58,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,337533.0,False,2.801818182
2001,26.4160845410628,72.6,9268501.76,23595.52,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,90752.0,True,5.592857143
2002,28.03126086956522,1325.7999999999995,39161097.53,103414.75,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,413659.0,False,1.491363636
2002,26.867652173913044,108.3,10602093.3,27997.5,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,111990.0,True,5.602272727
2003,28.460304347826085,1910.8,55212231.76,133874.88,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,557812.0,False,2.420909091
2003,26.360760869565222,126.3,16114141.96,39072.48,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,162802.0,True,5.081818182
2005,28.06011956521739,2050.8,71128749.2,124558.35,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,593135.0,False,3.803636364
2005,26.50376328502416,140.7,19766053.84,34613.67,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,164827.0,True,6.032272727
