Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Yield (t/ha)
1997,29.02877777777778,1148.3,35688750.0,116250.0,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,375000.0,True,False,False,1.260185185
1997,22.368800925925925,14.5,17312755.38,56393.34,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,181914.0,False,True,False,2.803555556
1997,27.804796296296296,71.5,13658988.74,44491.82,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,143522.0,False,False,True,2.025192308
1998,29.59954861111111,1127.1,36508674.8,107161.09,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,369521.0,True,False,False,1.276363636
1998,22.896970679012345,43.2,18783757.2,55134.51,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,190119.0,False,True,False,2.834545455
1998,28.19276851851852,64.80000000000001,14964149.2,43923.11,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,151459.0,False,False,True,2.175306122
1999,29.479569444444444,1193.0,40951852.45,104183.55,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,385865.0,True,False,False,1.615272727
1999,23.445368827160493,0.7000000000000001,21183548.0,53892.0,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,199600.0,False,True,False,2.928333333
1999,28.82775,87.39999999999999,16201593.54,41217.66,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,152658.0,False,False,True,2.511666667
2000,29.2015625,1047.7,26796188.69,70968.82,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,272957.0,True,False,False,1.728918919
