Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Organic_Carbon_Medium_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,26.151968253968253,1669.1,38048966.0,123938.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,399800.0,False,False,True,1.690666667
1998,29.63939285714285,1381.9,40340040.0,118407.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,408300.0,False,False,False,1.649411765
1999,28.471535714285714,633.9,41496830.0,105570.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,391000.0,False,False,False,1.324117647
2000,27.80692857142857,791.3,37589293.0,99554.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,382900.0,False,False,False,0.8175
2001,27.75467857142857,1313.0,45294655.0,115310.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,443500.0,False,False,False,2.108666667
2002,28.211273809523806,939.2,43974215.0,116125.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,464500.0,False,False,False,1.671875
2003,28.348130952380952,1834.9,47945912.0,116256.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,484400.0,False,False,False,1.825
2004,28.65139285714286,1428.0,49782230.0,96495.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,459500.0,False,False,False,1.0375
2005,27.521297619047623,1944.0,54791448.0,95949.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,456900.0,False,False,False,1.618125
2006,29.02797619047619,2162.5,57175767.0,98494.0,1.63,19.62,16.35,67.1,34.35,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,447700.0,False,False,False,0.529375
