Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,32.922934210526314,432.6,1987559.6,5833.93,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,20117.0,0.938235294
1999,30.34511842105263,287.9,2130878.14,5421.06,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,20078.0,0.812631579
2000,30.435473684210525,326.9,1514664.93,4011.54,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,15429.0,0.740555556
2001,30.56701315789473,357.1,1832620.72,4665.44,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,17944.0,1.051764706
2002,31.20852631578948,228.5,1503927.62,3971.5,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,15886.0,0.478333333
2003,30.65071052631579,324.29999999999995,1640098.6,3976.8,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,16570.0,0.960588235
2004,30.87286842105264,234.00000000000003,1708305.12,3311.28,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,15768.0,0.746875
2005,30.51153947368421,413.3,2094882.48,3668.49,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,17469.0,0.4965
2006,31.080250000000003,504.8,1712846.52,2950.64,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,13412.0,0.520625
2007,30.179789473684213,448.6,1837851.8,2204.32,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,13777.0,0.979375
