Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_High_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Yield (t/ha)
1997,24.979125,5214.4,47851190.49,155867.07,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,502797.0,False,False,2.687777778
1997,25.70085185185185,65.9,4648483.48,15141.64,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,48844.0,True,False,1.98
1997,28.647611111111107,156.0,926004.1,3016.3,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9730.0,False,True,2.165714286
1998,25.58305208333333,4707.1,44506633.6,130636.88,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,450472.0,False,False,3.366
1998,25.41422685185185,5.3,4932293.6,14477.38,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,49922.0,True,False,1.97952381
1998,28.080069444444444,196.0,1183031.2,3472.46,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,11974.0,False,True,2.241904762
2000,24.549802083333333,4289.0,58891495.81,155972.18,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,599893.0,False,False,3.1712
2000,25.34925,36.6,5673931.49,15027.22,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,57797.0,True,False,2.397368421
2000,27.886333333333337,405.2000000000001,1096068.05,2902.9,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,11165.0,False,True,2.774761905
2001,24.55059375,3719.3,51634272.62,131449.24,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,505574.0,False,False,2.663333333
2001,25.23631712962963,6.9,6657752.57,16949.14,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,65189.0,True,False,2.279
2001,27.57343055555556,384.7000000000001,946949.36,2410.72,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9272.0,False,True,2.6265
2003,25.057322916666667,3632.3,53998143.08,130931.04,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,545546.0,False,False,2.3356
