Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,27.97224444444445,1968.7,76925911.0,250573.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,808300.0,False,False,1.143023256
1998,29.576200000000004,1758.9,78802880.0,231304.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,797600.0,False,False,1.294035088
1999,28.6047,2267.2,89834375.28,228543.12,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,846456.0,False,False,1.543220339
2000,28.06177222222222,1446.5,81412282.83,215617.74,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,829299.0,False,False,1.558636364
2001,27.420272222222223,1717.4,86102228.45,219196.9,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,843065.0,False,False,1.943555556
2002,28.52985555555556,1506.6,80371989.9,212242.5,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,848970.0,False,False,1.662
2003,28.91477222222222,2269.3,88945209.64,215668.32,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,898618.0,False,False,1.916041667
2004,28.54101111111111,1679.5,94639973.64,183444.66,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,873546.0,False,False,1.34125
2005,27.47826111111112,1928.6,102242712.7,179044.11,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,852591.0,False,False,1.380638298
2006,29.228372222222223,1906.0,112310728.2,193472.4,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,879420.0,False,False,0.903617021
2007,28.616983333333334,1339.7000000000005,112300122.0,134692.8,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,841830.0,False,False,1.1325
2008,28.169416666666667,1723.6,118254314.9,74404.98,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,826722.0,False,False,1.2356
2009,26.12574259259259,1820.9,126596893.9,138117.52,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,812456.0,False,True,1.0752
2010,27.911377777777776,1655.3,139177755.1,201087.6,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,837865.0,False,False,1.3712
2011,27.95990555555556,2316.0,142206722.9,280135.02,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,848894.0,False,False,1.111428571
2012,27.80416111111111,2013.9,128861314.4,264900.58,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,854518.0,False,False,2.280204082
2013,28.55221111111112,2607.2,123053319.1,229942.53,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,851639.0,False,False,1.5412
2014,28.96333333333333,1518.2,170735760.0,373230.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,1131000.0,False,False,2.093061224
2015,28.746888888888886,1659.6,173701000.0,363000.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,1100000.0,False,False,2.075416667
2016,28.712888888888887,2292.7,193708000.0,442400.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,1264000.0,False,False,2.479130435
2017,28.700888888888887,1533.8,207272908.8,500277.6,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,1316520.0,False,False,2.5508
2017,30.84511111111111,18.5,5611161.6,13543.2,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,35640.0,True,False,3.540357143
2018,28.35577777777777,1533.8,203827819.0,439825.75,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,1256645.0,False,False,2.330588235
2019,28.733555555555554,1533.8,260405851.3,560958.11,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,1516103.0,False,False,1.999411765
2019,30.87688888888889,18.5,3606101.2,7768.15,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,20995.0,True,False,2.768387097
