Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Yield (t/ha)
1997,24.852011904761905,479.2,1998.57,6.51,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,21.0,False,False,False,989.87
1997,27.36328571428572,2066.5,17853892.0,58156.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,187600.0,True,False,False,1.082083333
1997,26.43958531746032,41.6,4358786.0,14198.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,45800.0,False,True,False,1.476875
1997,31.03829761904762,70.9,713775.0,2325.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,7500.0,False,False,True,1.407777778
1998,28.32134821428572,2708.5,19799520.0,58116.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,200400.0,True,False,False,1.952608696
1998,26.2708511904762,48.3,5809440.0,17052.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,58800.0,False,True,False,1.399444444
1998,30.42970238095238,50.2,1076920.0,3161.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,10900.0,False,False,True,1.426666667
1999,27.42448214285714,2370.7000000000003,20575316.97,52344.63,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,193869.0,True,False,False,1.3428
1999,26.425968253968254,34.099999999999994,6240444.0,15876.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,58800.0,False,True,False,1.491111111
1999,31.12692857142857,90.5,1188656.0,3024.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,11200.0,False,False,True,1.428888889
2000,26.7890625,2296.4,25376945.0,67210.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,258500.0,True,False,False,0.856538462
2000,25.90545833333333,23.0,6891534.0,18252.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,70200.0,False,True,False,1.161666667
2001,26.55274107142857,2117.9,25992085.0,66170.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,254500.0,True,False,False,1.910769231
2001,25.806301587301583,34.7,6444403.0,16406.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,63100.0,False,True,False,1.887142857
2001,29.41808333333333,49.900000000000006,868105.0,2210.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,8500.0,False,False,True,1.293529412
2002,27.221714285714285,2181.1,28514604.0,75300.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,301200.0,True,False,False,1.725185185
2002,26.160609126984127,23.6,5841139.0,15425.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,61700.0,False,True,False,1.382727273
2002,30.77942857142857,53.1,785761.0,2075.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,8300.0,False,False,True,1.386315789
2003,27.86675,2327.3,30861964.0,74832.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,311800.0,True,False,False,1.724444444
2003,25.903287698412697,18.2,5730942.0,13896.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,57900.0,False,True,False,1.689130435
2004,27.609267857142857,2144.3,38265688.0,74172.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,353200.0,True,False,False,1.387777778
2004,25.885164682539685,23.700000000000003,7042100.0,13650.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,65000.0,False,True,False,1.723478261
