Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
1997,22.577044444444443,64.4,4886884.33,15918.19,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,51349.0,False,False,False,False,0.812
1997,28.20156666666667,110.8,110777.88,360.84,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1164.0,False,False,True,False,0.945714286
1997,20.91443333333333,81.99999999999999,13704.48,44.64,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,144.0,False,False,False,True,0.9925
1999,27.3288,1085.4,17546472.9,44639.1,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,165330.0,True,False,False,False,1.160333333
1999,24.27021851851852,1.7,877695.1,2232.9,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,8270.0,False,True,False,False,1.395357143
2000,27.673191666666664,937.6,5337601.07,14136.46,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,54371.0,True,False,False,False,0.8808
2001,27.430825,1433.2,5252341.64,13371.28,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,51428.0,True,False,False,False,0.714615385
2002,27.959125,930.3,4080277.0,10775.0,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,43100.0,True,False,False,False,0.9248
2003,27.854325000000003,1235.8,5498240.02,13331.76,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,55549.0,True,False,False,False,0.887307692
2003,24.554829629629623,37.900000000000006,1361964.8,3302.4,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,13760.0,False,True,False,False,1.32
2019,23.249,191.1,10484402.16,22585.17,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,61041.0,False,False,False,False,2.048181818
