Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,31.27870833333333,485.2,15703050.0,51150.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,165000.0,2.102727273
1998,33.19070833333333,432.6,15215200.0,44660.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,154000.0,2.42
1999,31.285888888888888,287.9,17193060.0,43740.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,162000.0,2.711666667
2000,30.957708333333333,326.9,16198050.0,42900.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,165000.0,2.904615385
2001,31.35879166666667,357.1,16851450.0,42900.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,165000.0,2.7625
2002,31.79163888888889,228.5,14389840.0,38000.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,152000.0,2.083333333
2003,31.332527777777777,324.29999999999995,15242920.0,36960.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,154000.0,3.086923077
2004,31.894722222222224,234.00000000000003,16684360.0,32340.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,154000.0,2.883636364
2005,31.50420833333333,413.3,17748160.0,31080.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,148000.0,2.827
2006,31.809125,504.8,19667340.0,33880.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,154000.0,3.202307692
2007,30.989375000000003,448.6,20410200.0,24480.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,153000.0,3.560833333
2008,31.285222222222224,629.3999999999999,21599040.0,13590.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,151000.0,3.419230769
2009,31.967125,300.1,21658980.0,23630.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,139000.0,3.489166667
2010,31.998194444444444,395.1,22092630.0,31920.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,133000.0,3.710909091
2011,31.42784722222222,617.5,21107520.0,41580.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,126000.0,4.359090909
2012,31.65655555555556,379.5,19754800.0,40610.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,131000.0,3.5125
2013,32.043277777777774,479.69999999999993,18783700.0,35100.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,130000.0,4.231428571
2014,32.16388888888889,244.6,19020960.0,41580.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,126000.0,3.918571429
2015,32.2,336.3,18159650.0,37950.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,115000.0,3.759230769
2016,32.14833333333333,367.9,17777000.0,40600.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,116000.0,3.600769231
2017,32.16722222222222,390.1,17948160.0,43320.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,114000.0,3.750833333
2018,32.105,390.1,17712240.0,38220.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,109200.0,3.54625
2019,32.044444444444444,390.1,19683696.0,42402.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,114600.0,3.539444444
