Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Yield (t/ha)
1997,30.084464285714283,1266.1,96844230.64,315453.52,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1017592.0,False,False,1.498125
1997,28.305666666666667,144.39999999999998,988340.45,3219.35,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,10385.0,False,True,1.577936508
1998,31.75953928571429,1892.9,98384447.2,288780.26,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,995794.0,False,False,0.933780488
1998,28.7741,61.3,1042438.8,3059.79,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,10551.0,False,True,1.01047619
1999,30.23308571428571,1848.3,101409549.9,257990.94,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,955522.0,False,False,1.303170732
1999,23.25118888888889,69.7,1237369.67,3147.93,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,11659.0,True,False,1.455079365
2000,29.88016785714285,1890.7000000000005,89131193.59,236061.02,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,907927.0,False,False,1.534782609
2000,22.119425396825395,91.8,1267767.38,3357.64,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,12914.0,True,False,1.606610169
2001,30.09072857142857,1832.4,93318019.34,237566.68,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,913718.0,False,False,1.500869565
2001,22.475065873015875,41.4,1779002.47,4528.94,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,17419.0,True,False,1.63516129
2003,30.356789285714285,2504.2000000000003,9205.14,22.32,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,93.0,False,False,1.98
2003,30.356789285714285,2504.2000000000003,80904767.3,196172.4,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,817385.0,False,False,1.296
2003,22.219519841269843,163.4,412944.56,1001.28,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4172.0,True,False,1.348888889
2003,28.89879523809524,30.4,2043046.18,4953.84,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,20641.0,False,True,1.362166667
2004,30.525814285714297,1520.0,8883.88,17.22,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,82.0,False,False,1.52
2005,30.2951,1787.4,9473.68,16.59,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,79.0,False,False,1.82
2006,30.723328571428567,1289.2999999999995,8556.57,14.74,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,67.0,False,False,1.82
2006,30.723328571428567,1289.3,107538460.9,185251.44,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,842052.0,False,False,1.307826087
2006,22.58660555555556,64.2,538297.65,927.3,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4215.0,True,False,3.120454545
2006,29.2275,98.4,3239491.86,5580.52,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,25366.0,False,True,1.325689655
2007,29.986275,1388.1,108332539.2,129934.08,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,812088.0,False,False,1.360289855
2007,22.48734285714286,293.8,483841.8,580.32,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3627.0,True,False,2.78
2007,29.398861904761908,57.8,2925462.0,3508.8,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,21930.0,False,True,1.430714286
2008,30.54742857142857,2284.7,110111190.7,69281.37,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,769793.0,False,False,1.366764706
2008,21.62015873015873,10.2,517375.68,325.53,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3617.0,True,False,2.646086957
2008,28.06832380952381,134.20000000000002,3643514.88,2292.48,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,25472.0,False,True,1.505862069
2009,30.661889285714285,1287.4,105148582.6,114717.36,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,674808.0,False,False,1.431
2009,22.56987063492064,24.0,722381.52,788.12,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4636.0,True,False,3.032083333
2009,28.712066666666665,74.3,4555709.34,4970.29,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,29237.0,False,True,1.462833333
2010,30.31867857142857,2018.1,119271298.9,172326.24,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,718026.0,False,False,1.40915493
2010,23.403861904761907,44.8,912276.12,1318.08,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5492.0,True,False,3.0012
2010,30.245180952380952,31.1,5017186.44,7248.96,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,30204.0,False,True,1.469285714
2011,30.01911071428572,1905.8,124838751.8,245921.61,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,745217.0,False,False,1.535352113
2011,23.06541349206349,55.99999999999999,1484897.28,2925.12,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,8864.0,True,False,2.371153846
2011,29.4207761904762,105.1,5581766.4,10995.6,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,33320.0,False,True,1.666065574
2012,30.30099285714286,1299.8,105271821.2,216407.59,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,698089.0,False,False,1.696666667
2012,22.898169841269844,49.4,1094958.8,2250.91,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,7261.0,True,False,3.108695652
2012,28.851,23.6,4621869.2,9501.19,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,30649.0,False,True,1.849677419
2013,30.908753571428576,1991.1,100496551.7,187792.02,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,695526.0,False,False,1.702
2013,23.03207936507937,240.40000000000003,1938766.82,3622.86,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,13418.0,True,False,3.5572
2013,30.120352380952383,18.2,8380708.98,15660.54,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,58002.0,False,True,1.840877193
2014,30.97942857142857,1056.7,97025916.96,212099.58,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,642726.0,False,False,1.693783784
2014,22.787571428571425,246.0,1608176.88,3515.49,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,10653.0,True,False,2.444166667
2014,29.56842857142857,56.5,9415979.04,20583.42,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,62374.0,False,True,1.784310345
2015,30.85514285714286,1203.5,95541234.76,199661.88,0.12,1.53,63.87,10.56,10.33,1.08,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,605036.0,False,False,1.640133333
