Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,25.32285648148148,4209.1,3375584.73,10995.39,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,35469.0,False,False,False,True,2.658461538
1998,28.669541666666664,3858.4,3805677.2,11170.51,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,38519.0,True,False,False,False,2.634
1999,28.63052777777778,4055.1,3728240.77,9484.83,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,35129.0,True,False,False,False,1.941538462
2000,28.44797222222222,3341.7000000000003,3462161.39,9169.42,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,35267.0,True,False,False,False,2.568571429
2001,28.75180555555556,2838.7,3399703.44,8654.88,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,33288.0,True,False,False,False,2.314285714
2002,28.66795833333333,3142.2,2624631.08,6931.0,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,27724.0,True,False,False,False,1.895384615
2003,28.641430555555555,2823.2,5496359.4,13327.2,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,55530.0,True,False,False,False,2.133333333
2005,28.65290277777778,2947.8,8604619.76,15068.13,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,71753.0,True,False,False,False,2.601764706
2006,28.62097222222222,3077.0,10912308.66,18798.12,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,85446.0,True,False,False,False,2.723125
2007,28.43022222222222,3666.7,4611638.0,5531.2,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,34570.0,True,False,False,False,1.775454545
