Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,23.357916666666664,213.1,4872894.34,15872.62,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,51202.0,0.662352941
1998,23.641410493827163,388.4,5129597.2,15056.51,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,51919.0,0.600588235
1999,24.229,35.2,6236198.8,15865.2,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,58760.0,0.636470588
2000,23.897808641975303,173.2,7460330.98,19758.44,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,75994.0,0.87625
2001,23.5583950617284,109.7,7289733.01,18558.02,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,71377.0,0.574705882
2002,23.77319444444445,190.1,6505817.07,17180.25,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,68721.0,0.606470588
2003,23.45116049382716,268.5,6867232.4,16651.2,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,69380.0,0.669411765
2005,23.70725308641975,294.0,7374240.56,12913.53,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,61493.0,0.612777778
2006,23.63783641975309,71.9,8203962.69,14132.58,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,64239.0,0.561764706
2007,23.766546296296298,230.2,7835515.8,9397.92,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,58737.0,0.703125
2008,23.38854938271605,208.4,7110804.48,4474.08,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,49712.0,0.617058824
2004,23.68624691358025,91.7,6792701.32,13166.58,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,62698.0,0.574117647
2009,23.865716049382712,123.0,8055582.36,8788.66,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,51698.0,0.733529412
2010,24.627373456790124,121.3,9542521.17,13787.28,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,57447.0,0.755882353
2011,23.82762962962963,145.3,9933768.48,19568.67,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,59299.0,0.73625
2012,24.25616666666666,135.1,9648485.6,19834.42,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,63982.0,0.884375
2013,24.17833333333333,76.0,9458604.38,17674.74,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,65462.0,0.841666667
2014,23.953333333333333,127.5,9959133.12,21770.76,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,65972.0,0.870555556
2015,24.16481481481481,133.2,15075036.06,31503.78,4.69,31.8,21.87,29.76,15.52,32.87,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,95466.0,0.684444444
