Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,38484308.89,101924.42,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,392017.0,False,0.404090909
2000,26.46145410628019,96.1,12601592.05,33374.9,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,128365.0,True,0.371578947
2001,27.75952173913044,1677.9,34554357.81,87967.62,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,338337.0,False,0.408636364
2001,26.4160845410628,72.6,14063096.74,35801.48,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,137698.0,True,0.351
2002,28.03126086956522,1325.7999999999995,33635493.64,88823.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,355292.0,False,0.217272727
2002,26.867652173913044,108.3,11186396.54,29540.5,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,118162.0,True,0.291
2003,28.460304347826085,1910.8,47384299.48,114894.24,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,478726.0,False,0.495
2003,26.360760869565222,126.3,19972679.3,48428.4,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,201785.0,True,0.353
2005,28.06011956521739,2050.8,30214923.28,52911.39,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,251959.0,False,0.582272727
2005,26.50376328502416,140.7,15944922.96,27922.23,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,132963.0,True,0.448333333
