Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
1997,28.006107142857143,1644.9,17016396.0,55428.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,178800.0,False,0.596111111
1998,29.63939285714285,1381.9,17210960.0,50518.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,174200.0,False,0.565
1999,28.471535714285714,633.9,11408975.0,29025.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,107500.0,False,0.213333333
2000,27.80692857142857,791.3,14676415.0,38870.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,149500.0,False,0.327894737
2001,27.75467857142857,1313.0,17198692.0,43784.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,168400.0,False,0.505555556
2002,28.211273809523806,939.2,13272734.0,35050.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,140200.0,False,0.282777778
2003,28.348130952380952,1834.9,20469064.0,49632.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,206800.0,False,0.597083333
2004,28.65139285714286,1428.0,18753654.0,36351.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,173100.0,False,0.44875
2005,27.521297619047623,1944.0,18431704.0,32277.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,153700.0,False,0.587916667
2006,29.02797619047619,2162.5,24673572.0,42504.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,193200.0,False,0.365
2007,28.10422619047619,2062.5,27933960.0,33504.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,209400.0,False,0.56125
2008,27.914571428571428,1486.9,23172480.0,14580.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,162000.0,False,0.454
2009,28.537261904761905,1197.6999999999998,25788210.0,28135.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,165500.0,False,0.4116
2010,27.948678571428577,2078.9,29467914.0,42576.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,177400.0,False,0.4828
2010,28.75734920634921,0.1,11793810.0,17040.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,71000.0,True,0.584615385
2011,28.195857142857147,1629.4,33504000.0,66000.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,200000.0,False,0.46826087
2011,28.56006349206349,0.0,10972560.0,21615.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,65500.0,True,0.5128
2012,27.55394047619048,1026.8000000000002,13813280.0,28396.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,91600.0,False,0.432608696
2012,28.65612698412698,0.3,3558880.0,7316.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,23600.0,True,0.691818182
2013,28.097369047619047,1701.9,18411060.29,34403.67,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,127421.0,False,0.55375
2013,29.39714285714286,13.2,4552157.45,8506.35,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,31505.0,True,0.5245
2014,28.582857142857144,1065.8000000000002,12426121.44,27163.62,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,82314.0,False,0.5490625
2014,28.82238095238095,4.9,5432144.64,11874.72,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,35984.0,True,0.526
2015,28.56,1036.0,16459275.12,34396.56,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,104232.0,False,0.530967742
2015,28.81142857142857,9.3,3983279.75,8324.25,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,25225.0,True,0.538387097
2016,28.60142857142857,1113.7,23535675.25,53751.95,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,153577.0,False,0.472580645
2016,29.20619047619048,1.5,4469536.25,10207.75,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,29165.0,True,0.766129032
2017,28.55952380952381,1643.4,19734631.68,47631.86,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,125347.0,False,0.626333333
2017,29.123809523809523,0.3,4206954.24,10153.98,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,26721.0,True,0.7928125
2018,27.940952380952385,1643.4,10227683.2,22069.6,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,63056.0,False,0.383103448
2018,29.123809523809523,0.3,3856305.0,8321.25,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,23775.0,True,1.164827586
2019,28.38047619047619,1643.4,15718101.12,33859.44,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,91512.0,False,0.653571429
2019,29.155238095238094,0.3,7456788.64,16063.18,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,43414.0,True,1.031818182
