Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
1997,27.36328571428572,2066.5,58253557.0,189751.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,612100.0,False,0.444444444
1998,28.32134821428572,2708.5,64131080.0,188239.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,649100.0,False,0.603928571
1999,27.42448214285714,2370.7000000000003,65789987.0,167373.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,619900.0,False,0.5221875
2000,26.7890625,2296.4,70122831.0,185718.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,714300.0,False,0.472727273
2001,26.55274107142857,2117.9,72573578.0,184756.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,710600.0,False,0.501515152
2002,27.221714285714285,2181.1,72166941.0,190575.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,762300.0,False,0.573636364
2003,27.86675,2327.3,69295898.0,168024.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,700100.0,False,0.583939394
2004,27.609267857142857,2144.3,71071040.0,137760.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,656000.0,False,0.509090909
2005,26.54633928571429,2978.6,64013296.0,112098.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,533800.0,False,0.45969697
2006,28.352107142857143,3095.0,73190601.0,126082.0,2.47,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,573100.0,False,0.538181818
