Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,28.006107142857143,1644.9,4615745.0,15035.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,48500.0,0.603571429
1998,29.63939285714285,1381.9,4238520.0,12441.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,42900.0,0.331333333
1999,28.471535714285714,633.9,2748767.0,6993.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,25900.0,0.081538462
2000,27.80692857142857,791.3,4299846.0,11388.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,43800.0,0.058571429
2001,27.75467857142857,1313.0,4412016.0,11232.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,43200.0,0.293333333
2002,28.211273809523806,939.2,3587993.0,9475.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,37900.0,0.544666667
2003,28.348130952380952,1834.9,4671856.0,11328.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,47200.0,0.533333333
2004,28.65139285714286,1428.0,4441940.0,8610.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,41000.0,0.413571429
2005,27.521297619047623,1944.0,5528312.0,9681.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,46100.0,0.510666667
2006,29.02797619047619,2162.5,5632011.0,9702.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,44100.0,0.346666667
