Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,26.151968253968253,1669.1,1989053.0,6479.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,20900.0,False,True,30.12733333
1998,27.16711507936508,1636.9,5157360.0,15138.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,52200.0,False,True,30.61888889
1999,26.65183333333333,949.1,2111987.0,5373.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,19900.0,False,True,24.14705882
2000,25.985801587301587,836.7,628288.0,1664.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,6400.0,False,True,19.14875
2001,26.04919047619048,1359.2,2471546.0,6292.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,24200.0,False,True,29.52625
2002,26.057559523809523,945.3,2366750.0,6250.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,25000.0,False,True,28.60875
2003,25.966123015873016,1846.5,4859918.0,11784.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,49100.0,False,True,31.65611111
2004,26.61101587301588,1488.0,4766960.0,9240.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,44000.0,False,True,28.47894737
2005,26.028436507936508,1948.0,8790136.0,15393.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,73300.0,False,True,29.175
2006,26.40084523809524,2179.8,5529843.0,9526.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,43300.0,False,True,21.8045
2007,26.340984126984125,2069.6000000000004,8724360.0,10464.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,65400.0,False,True,28.88190476
2008,24.28475396825397,0.3,7781376.0,4896.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,54400.0,False,False,26.605
2009,24.88051322751323,0.3,5999070.0,6545.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,38500.0,False,False,26.69277778
2010,26.034126984126985,2208.6000000000004,11145981.0,16104.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,67100.0,False,True,26.0365
2011,24.78361111111111,1.6,10654272.0,20988.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,63600.0,False,False,24.66956522
2011,28.56006349206349,0.0,1541184.0,3036.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,9200.0,True,False,26.965
2012,24.785743386243382,0.1,2186600.0,4495.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,14500.0,False,False,23.321
2012,28.65612698412698,0.3,331760.0,682.0,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2200.0,True,False,22.094
2013,25.09412433862434,3.0,9924729.12,18545.76,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,68688.0,False,False,30.73391304
2013,29.39714285714286,13.2,1590979.39,2972.97,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,11011.0,True,False,27.96125
2014,24.854285714285712,6.4,5858606.64,12806.97,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,38809.0,False,False,28.18724138
2014,28.82238095238095,4.9,1235607.6,2701.05,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,8185.0,True,False,26.506
2015,24.838095238095235,13.2,8351070.35,17452.05,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,52885.0,False,False,26.94153846
2015,28.81142857142857,9.3,1593469.81,3330.03,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,10091.0,True,False,26.179
2016,24.97746031746032,0.8999999999999999,6499026.0,14842.8,19.62,16.35,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,42408.0,False,False,26.38703704
