Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,25.184764285714287,1607.1,38090269.78,124072.54,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,400234.0,True,13.6445
1998,26.144975,2213.5,42408022.8,124476.99,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,429231.0,True,21.38225
1999,26.007066666666667,2083.6,46872951.28,119247.12,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,441656.0,True,21.67878049
2000,25.19719404761905,2102.6,38687128.11,102461.58,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,394083.0,True,19.7573913
2001,25.402327380952386,2121.0,39682815.76,101023.52,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,388552.0,True,23.1684058
2003,25.422532142857143,2741.5,6136.76,14.88,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,62.0,True,4.94
2003,25.422532142857143,2741.5,43728968.08,106031.04,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,441796.0,True,19.60414286
2005,25.728452380952383,2015.5,6355.76,11.13,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,53.0,True,15.87
2006,25.798240476190475,1492.3,7024.05,12.1,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,55.0,True,15.87
2006,22.58660555555556,64.2,59934430.71,103246.22,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,469301.0,False,20.56657143
2007,22.48734285714286,293.8,67348057.2,80777.28,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,504858.0,False,20.87428571
2008,21.62015873015873,10.2,75431714.88,47461.23,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,527347.0,False,18.97342857
2009,22.56987063492064,24.0,84266988.54,91935.49,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,540797.0,False,24.02859155
2010,23.403861904761907,44.8,92445696.63,133567.92,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,556533.0,False,22.96777778
2011,23.06541349206349,55.99999999999999,93439138.08,184067.07,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,557779.0,False,21.50819444
2012,22.898169841269844,49.4,82587128.0,169774.6,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,547660.0,False,22.3752
2013,23.03207936507937,240.40000000000003,82331268.94,153847.62,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,569806.0,False,19.44533333
2014,22.787571428571425,246.0,86902841.28,189970.44,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,575668.0,False,21.62333333
2015,22.884714285714285,278.7,96735666.0,202158.0,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,612600.0,False,22.6352
2016,22.808761904761905,52.400000000000006,88216983.25,201474.35,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,575641.0,False,23.69093333
2017,23.13619047619048,87.4,90185725.44,217673.88,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,572826.0,False,23.98133333
2018,22.990571428571428,87.4,92680917.8,199989.65,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,571399.0,False,27.7596
2019,22.846714285714285,87.4,94877132.32,204381.34,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,552382.0,False,25.4704
1998,26.144975,2213.5,14029.6,41.18,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,142.0,True,7.38
1999,26.007066666666667,2083.6,16662.41,42.39,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,157.0,True,7.36
2000,25.19719404761905,2102.6,244148.79,646.62,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2487.0,True,18.48
2001,25.402327380952386,2121.0,6434.19,16.38,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,63.0,True,7.32
2002,25.535575000000005,1671.5,5774.87,15.25,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,61.0,True,7.31
2002,25.535575,1671.5,41846980.1,110507.5,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,442030.0,True,22.26231884
2004,22.55540634920635,71.6,47142525.9,91378.35,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,435135.0,False,20.40014286
2005,22.78578095238095,168.4,53388024.24,93491.37,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,445197.0,False,22.26442857
2007,25.313417209181782,2286.698266024728,7470.4,8.96,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,56.0,True,15.86
2008,25.313417209181782,2286.698266024728,11300.16,7.11,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,79.0,True,16.77
2009,25.313417209181782,2286.698266024728,13712.16,14.96,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,88.0,True,249.99
2010,25.313417209181782,2286.698266024728,8471.61,12.24,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,51.0,True,311.02
2011,25.313417209181782,2286.698266024728,8040.96,15.84,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,48.0,True,311.0
2012,25.313417209181782,2286.698266024728,103901.2,213.59,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,689.0,True,21.27
2013,25.313417209181782,2286.698266024728,99553.61,186.03,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,689.0,True,21.27
2014,25.313417209181782,2286.698266024728,65818.56,143.88,98.35,63.87,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,436.0,True,21.27
