Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Season_Winter     ,Yield (t/ha)
1997,25.32285648148148,4209.1,27029707.55,88044.65,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,284015.0,False,True,False,18.23722222
1998,25.629986111111112,5287.8,31438061.2,92277.71,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,318199.0,False,True,False,18.95944444
1999,28.36935185185185,719.8,262990.14,669.06,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2478.0,True,False,False,13.4
1999,20.51333333333333,20.2,33258276.49,84610.71,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,313373.0,False,False,True,20.56777778
2000,25.749777777777776,4480.1,29418014.88,77912.64,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,299664.0,False,True,False,22.39388889
2001,25.545435185185184,4153.2,30620718.73,77953.46,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,299821.0,False,True,False,21.95444444
2002,28.636351851851853,610.3,226734.65,598.75,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2395.0,True,False,False,12.86
2002,20.054861111111112,78.80000000000001,32841591.02,86726.5,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,346906.0,False,False,True,20.73388889
2003,25.559870370370373,4220.0,30527906.5,74022.0,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,308425.0,False,True,False,21.86777778
2005,25.68516203703704,4412.6,42506243.6,74435.55,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,354455.0,False,True,False,19.345
2006,25.68178703703704,3922.6,52098145.11,89747.02,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,407941.0,False,True,False,13.35111111
2007,25.65893981481481,4580.3,53464852.4,64125.76,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,400786.0,False,True,False,22.28666667
2008,25.49203703703704,4245.1,55210722.24,34738.29,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,385981.0,False,True,False,13.99944444
2004,25.58669907407408,4284.1,34728603.68,67315.92,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,320552.0,False,True,False,21.12944444
2009,23.865716049382712,123.0,59905154.82,65356.67,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,384451.0,False,False,False,31.58888889
2009,27.99712962962963,655.5,378642.6,413.1,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2430.0,True,False,False,12.4
2010,24.627373456790124,121.3,67498632.39,97523.76,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,406349.0,False,False,False,29.27833333
2010,29.536388888888887,655.9,405308.4,585.6,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2440.0,True,False,False,12.2
2011,23.82762962962963,145.3,63113327.52,124327.83,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,376751.0,False,False,False,26.11722222
