Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,8196409.64,21707.92,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,83492.0,False,1.172
2000,26.46145410628019,96.1,1547159.2,4097.6,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,15760.0,True,1.639285714
2001,27.75952173913044,1677.9,7019701.29,17870.58,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,68733.0,False,1.252666667
2001,26.4160845410628,72.6,1327077.22,3378.44,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,12994.0,True,1.738
2002,28.03126086956522,1325.7999999999995,5835837.48,15411.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,61644.0,False,1.17375
2002,26.867652173913044,108.3,909778.7,2402.5,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,9610.0,True,1.251428571
2003,28.460304347826085,1910.8,6690751.06,16223.28,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,67597.0,False,1.140666667
2003,26.360760869565222,126.3,1073438.1,2602.8,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,10845.0,True,1.783076923
2005,28.06011956521739,2050.8,6784593.92,11880.96,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,56576.0,False,1.316428571
2005,26.50376328502416,140.7,1082997.52,1896.51,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,9031.0,True,1.785384615
2006,28.76501086956522,1971.0,6475152.42,11154.44,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,50702.0,False,1.205
2006,26.26947101449275,106.4,1049776.2,1808.4,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,8220.0,True,1.621818182
2008,28.817478260869567,1965.8,6405760.32,4030.47,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,44783.0,False,1.146153846
2008,26.540917874396133,374.0,749243.52,471.42,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5238.0,True,1.703636364
2009,28.937521739130435,1461.5,6062332.92,6614.02,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,38906.0,False,1.08
2009,27.30935024154589,13.6,985094.04,1074.74,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6322.0,True,1.824545455
2010,27.977663043478262,2608.3,6159026.58,8898.72,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,37078.0,False,1.183333333
2010,26.671995169082123,51.7,871080.84,1258.56,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5244.0,True,1.465833333
2011,27.69583695652173,1722.1,6207788.64,12228.81,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,37057.0,False,0.993846154
2011,26.90242270531401,46.2,901090.08,1775.07,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5379.0,True,1.690909091
2012,28.328913043478263,2018.2,5428800.0,11160.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,36000.0,False,1.207142857
2012,27.089132850241544,52.400000000000006,754000.0,1550.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5000.0,True,1.2
2013,28.44332608695652,2047.2,5349164.29,9995.67,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,37021.0,False,1.005454545
2013,27.014550724637683,106.8,655695.62,1225.26,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4538.0,True,1.534444444
2014,28.74739130434783,1411.6,4338892.32,9484.86,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,28742.0,False,1.024444444
2014,26.80463768115942,85.5,709210.08,1550.34,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4698.0,True,1.511
2015,28.68826086956522,1859.7,4200879.73,8778.99,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,26603.0,False,1.123333333
2015,26.92608695652174,83.9,721490.79,1507.77,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4569.0,True,1.757777778
2016,28.707391304347823,1961.1,4122271.75,9414.65,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,26899.0,False,1.086
2016,27.209130434782608,27.700000000000003,790616.75,1805.65,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5159.0,True,1.78
2017,28.681304347826085,1841.0,4194201.6,10123.2,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,26640.0,False,1.28
2017,26.97188405797101,38.8,1229606.4,2967.8,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,7810.0,True,1.896666667
2018,28.38086956521739,1841.0,3891664.6,8397.55,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,23993.0,False,1.305555556
2018,26.912173913043475,38.8,1321767.8,2852.15,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,8149.0,True,1.781111111
2019,28.695652173913043,1841.0,4407361.6,9494.2,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,25660.0,False,1.315
2019,26.943188405797105,38.8,1355701.68,2920.41,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,7893.0,True,1.588888889
1997,28.508206521739133,1631.1,7918144.0,25792.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,83200.0,False,0.918333333
