Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,20.68192328042328,150.7,26580219.64,86580.52,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,279292.0,0.554782609
1998,21.043510582010583,180.10000000000002,28536305.2,83760.41,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,288829.0,0.473478261
1999,21.34551058201058,41.6,30378757.33,77285.07,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,286241.0,0.479565217
2000,20.52820634920635,100.1,26943640.03,71359.34,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,274459.0,0.499565217
2001,20.73583597883598,76.1,27812347.99,70803.98,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,272323.0,0.479130435
2002,20.53819576719577,109.2,24738123.03,65327.25,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,261309.0,0.472173913
2003,20.178462962962964,147.9,26140914.94,63384.72,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,264103.0,0.519130435
2005,20.95041005291005,225.5,25479522.32,44618.91,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,212471.0,0.469259259
2006,21.314481481481483,62.400000000000006,30449384.46,52453.72,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,238426.0,0.495185185
2007,21.4340873015873,98.7,31322853.6,37568.64,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,234804.0,0.503703704
2008,20.620870370370373,151.7,32382110.4,20374.65,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,226385.0,0.521111111
2009,21.681976190476192,64.4,38752434.0,42279.0,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,248700.0,0.512962963
2010,22.431502645502647,103.2,40500109.65,58515.6,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,243815.0,0.528888889
2011,20.838433862433863,131.5,41536416.48,81823.17,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,247949.0,0.538888889
2012,21.446328042328044,50.900000000000006,42147996.8,86643.76,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,279496.0,0.564814815
2013,21.40576455026455,54.7,40339585.14,75380.22,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,279186.0,0.576296296
2014,21.18222222222222,59.6,42420665.76,92731.98,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,281006.0,0.634074074
2015,21.45539682539682,66.4,45111255.07,94273.41,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,285677.0,0.647777778
2016,21.66809523809524,98.9,45058258.5,102906.3,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,294018.0,0.623703704
2017,21.87857142857144,156.2,45702470.4,110308.3,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,290285.0,0.636666667
