Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.368800925925925,14.5,9652902.76,31442.68,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,101428.0,0.718909091
1998,22.896970679012345,43.2,10596300.0,31102.5,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,107250.0,0.809259259
1999,23.445368827160493,0.7000000000000001,9435806.04,24005.16,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,88908.0,0.792162162
2000,22.821478395061728,16.2,9523569.87,25222.86,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,97011.0,0.877567568
2001,22.620851851851853,4.5,9793756.35,24932.7,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,95895.0,0.862972973
2002,22.94225,26.9,8527116.24,22518.0,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,90072.0,0.699189189
2003,22.37628703703704,63.10000000000001,8281260.68,20079.84,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,83666.0,0.812105263
2004,23.10679783950617,27.0,9004354.08,17453.52,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,83112.0,0.866578947
2005,23.009175925925927,40.3,10027950.24,17560.62,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,83622.0,0.894473684
2006,22.995984567901235,2.0,11103235.11,19127.02,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,86941.0,0.982432432
2007,23.0038950617284,59.8,11756008.4,14100.16,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,88126.0,0.932631579
2008,22.386140432098767,33.2,12196305.6,7673.85,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,85265.0,0.99
2009,23.0876975308642,1.8,13972691.04,15244.24,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,89672.0,1.084210526
2010,23.772777777777776,1.4,14348249.58,20730.72,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,86378.0,1.101842105
2011,23.28091049382716,21.1,15131411.52,29807.58,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,90326.0,1.254736842
2012,23.63068209876544,28.1,13092908.4,26915.13,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,86823.0,1.306486486
2013,23.352901234567906,28.300000000000004,12317194.54,23016.42,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,85246.0,1.293421053
2014,23.092685185185186,58.9,12747817.2,27866.85,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,84445.0,1.041891892
2015,23.366203703703704,41.8,14157736.87,29586.81,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,89657.0,1.002894737
